query_sample	genotyped_sample	rank	discordance	discordance_per_site	avg_neg_log_hwe	sites_compared	matching_genotypes	match_fraction	source_file
Benning	PI 644044	1	115	0.007871321	1.353575	14610	14495	99.2129%	05c_vcfs_soy50k/Benning.soy50k.filtered.gtcheck.tsv
Benning	PI 644046	2	122	0.008350445	1.35322	14610	14488	99.1650%	05c_vcfs_soy50k/Benning.soy50k.filtered.gtcheck.tsv
Benning	PI 595645	3	135	0.009240246	1.353636	14610	14475	99.0760%	05c_vcfs_soy50k/Benning.soy50k.filtered.gtcheck.tsv
Benning	PI 644045	4	199	0.013620808	1.353836	14610	14411	98.6379%	05c_vcfs_soy50k/Benning.soy50k.filtered.gtcheck.tsv
Benning	PI 644043	5	391	0.026762491	1.341076	14610	14219	97.3238%	05c_vcfs_soy50k/Benning.soy50k.filtered.gtcheck.tsv
Benning	PI 647084	6	445	0.030535923	1.341995	14573	14128	96.9464%	05c_vcfs_soy50k/Benning.soy50k.filtered.gtcheck.tsv
Benning	PI 644042	7	664	0.045448323	1.330835	14610	13946	95.4552%	05c_vcfs_soy50k/Benning.soy50k.filtered.gtcheck.tsv
Benning	PI 647083	8	666	0.045660222	1.335185	14586	13920	95.4340%	05c_vcfs_soy50k/Benning.soy50k.filtered.gtcheck.tsv
Benning	PI 647082	9	766	0.052429843	1.338114	14610	13844	94.7570%	05c_vcfs_soy50k/Benning.soy50k.filtered.gtcheck.tsv
Benning	PI 647081	10	1101	0.07548334	1.315701	14586	13485	92.4517%	05c_vcfs_soy50k/Benning.soy50k.filtered.gtcheck.tsv
Clark	PI 547402	1	11	0.002198241	1.25943	5004	4993	99.7802%	05c_vcfs_soy50k/Clark.soy50k.filtered.gtcheck.tsv
Clark	PI 547581	2	11	0.002198241	1.25943	5004	4993	99.7802%	05c_vcfs_soy50k/Clark.soy50k.filtered.gtcheck.tsv
Clark	PI 591490	3	11	0.002198241	1.25943	5004	4993	99.7802%	05c_vcfs_soy50k/Clark.soy50k.filtered.gtcheck.tsv
Clark	PI 547465	4	11	0.002198241	1.25943	5004	4993	99.7802%	05c_vcfs_soy50k/Clark.soy50k.filtered.gtcheck.tsv
Clark	PI 547455	5	11	0.002198241	1.25943	5004	4993	99.7802%	05c_vcfs_soy50k/Clark.soy50k.filtered.gtcheck.tsv
Clark	PI 547555	6	11	0.002198241	1.25943	5004	4993	99.7802%	05c_vcfs_soy50k/Clark.soy50k.filtered.gtcheck.tsv
Clark	PI 547423	7	11	0.002198241	1.25943	5004	4993	99.7802%	05c_vcfs_soy50k/Clark.soy50k.filtered.gtcheck.tsv
Clark	PI 547428	8	11	0.002198241	1.25943	5004	4993	99.7802%	05c_vcfs_soy50k/Clark.soy50k.filtered.gtcheck.tsv
Clark	PI 547419	9	11	0.002198241	1.25943	5004	4993	99.7802%	05c_vcfs_soy50k/Clark.soy50k.filtered.gtcheck.tsv
Clark	PI 547435	10	11	0.002198241	1.25943	5004	4993	99.7802%	05c_vcfs_soy50k/Clark.soy50k.filtered.gtcheck.tsv
Harosoy	PI 548218	1	23	0.001659332	1.199732	13861	13838	99.8341%	05c_vcfs_soy50k/Harosoy.soy50k.filtered.gtcheck.tsv
Harosoy	PI 548575	2	23	0.001659332	1.199673	13861	13838	99.8341%	05c_vcfs_soy50k/Harosoy.soy50k.filtered.gtcheck.tsv
Harosoy	PI 547741	3	55	0.003967968	1.19935	13861	13806	99.6032%	05c_vcfs_soy50k/Harosoy.soy50k.filtered.gtcheck.tsv
Harosoy	PI 548230	4	60	0.004328692	1.198567	13861	13801	99.5671%	05c_vcfs_soy50k/Harosoy.soy50k.filtered.gtcheck.tsv
Harosoy	PI 547678	5	76	0.00548301	1.197776	13861	13785	99.4517%	05c_vcfs_soy50k/Harosoy.soy50k.filtered.gtcheck.tsv
Harosoy	PI 547760	6	77	0.005555155	1.199058	13861	13784	99.4445%	05c_vcfs_soy50k/Harosoy.soy50k.filtered.gtcheck.tsv
Harosoy	PI 547708	7	83	0.005988024	1.198689	13861	13778	99.4012%	05c_vcfs_soy50k/Harosoy.soy50k.filtered.gtcheck.tsv
Harosoy	PI 547718	8	86	0.006204459	1.200948	13861	13775	99.3796%	05c_vcfs_soy50k/Harosoy.soy50k.filtered.gtcheck.tsv
Harosoy	PI 547713	9	90	0.006493038	1.198035	13861	13771	99.3507%	05c_vcfs_soy50k/Harosoy.soy50k.filtered.gtcheck.tsv
Harosoy	PI 547735	10	91	0.006565183	1.198287	13861	13770	99.3435%	05c_vcfs_soy50k/Harosoy.soy50k.filtered.gtcheck.tsv
Jackv3	PI 540556	1	993	0.111472833	1.433154	8908	7915	88.8527%	05c_vcfs_soy50k/Jackv3.soy50k.filtered.gtcheck.tsv
Jackv3	PI 548526	2	1211	0.135945218	1.334834	8908	7697	86.4055%	05c_vcfs_soy50k/Jackv3.soy50k.filtered.gtcheck.tsv
Jackv3	PI 634879	3	1838	0.206331388	1.265419	8908	7070	79.3669%	05c_vcfs_soy50k/Jackv3.soy50k.filtered.gtcheck.tsv
Jackv3	IA1008	4	1856	0.210813267	1.323203	8804	6948	78.9187%	05c_vcfs_soy50k/Jackv3.soy50k.filtered.gtcheck.tsv
