query_sample	query_sample_basename	genotyped_sample	rank	discordance	discordance_per_site	avg_neg_log_hwe	sites_compared	matching_genotypes	match_fraction	source_file
04b_bams-asm20/Benning-asm20.sorted.bam	Benning-asm20.sorted.bam	PI644044	1	7072.669	0.4840978097193703	1.353575	14610	14495	0.9921286789869952	vcf-50k-asm20-Xcss/Wm82a6_hifi-Benning-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Benning-asm20.sorted.bam	Benning-asm20.sorted.bam	PI644046	2	7141.976	0.4888416153319644	1.35322	14610	14488	0.9916495550992471	vcf-50k-asm20-Xcss/Wm82a6_hifi-Benning-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Benning-asm20.sorted.bam	Benning-asm20.sorted.bam	PI595645	3	7270.691	0.4976516769336071	1.353636	14610	14475	0.9907597535934292	vcf-50k-asm20-Xcss/Wm82a6_hifi-Benning-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Benning-asm20.sorted.bam	Benning-asm20.sorted.bam	PI644045	4	7904.362	0.5410240930869268	1.353836	14610	14411	0.9863791923340178	vcf-50k-asm20-Xcss/Wm82a6_hifi-Benning-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Benning-asm20.sorted.bam	Benning-asm20.sorted.bam	PI647084	5	9505.285	0.6522531393673231	1.341995	14573	14128	0.9694640774034172	vcf-50k-asm20-Xcss/Wm82a6_hifi-Benning-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Benning-asm20.sorted.bam	Benning-asm20.sorted.bam	PI644043	6	9805.377	0.6711414784394251	1.341076	14610	14219	0.9732375085557837	vcf-50k-asm20-Xcss/Wm82a6_hifi-Benning-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Benning-asm20.sorted.bam	Benning-asm20.sorted.bam	PI647083	7	12196.07	0.8361490470313999	1.335185	14586	13920	0.9543397778691897	vcf-50k-asm20-Xcss/Wm82a6_hifi-Benning-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Benning-asm20.sorted.bam	Benning-asm20.sorted.bam	PI644042	8	12508.38	0.8561519507186858	1.330835	14610	13946	0.9545516769336071	vcf-50k-asm20-Xcss/Wm82a6_hifi-Benning-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Benning-asm20.sorted.bam	Benning-asm20.sorted.bam	PI647082	9	13518.3	0.9252772073921971	1.338114	14610	13844	0.9475701574264203	vcf-50k-asm20-Xcss/Wm82a6_hifi-Benning-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Benning-asm20.sorted.bam	Benning-asm20.sorted.bam	PI647081	10	16337.27	1.1200651309474838	1.315701	14586	13485	0.9245166598107775	vcf-50k-asm20-Xcss/Wm82a6_hifi-Benning-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Clark-asm20.sorted.bam	Clark-asm20.sorted.bam	PI547402	1	2136.965	0.4270513589128697	1.25943	5004	4993	0.9978017585931255	vcf-50k-asm20-Xcss/Wm82a6_hifi-Clark-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Clark-asm20.sorted.bam	Clark-asm20.sorted.bam	PI547581	2	2136.965	0.4270513589128697	1.25943	5004	4993	0.9978017585931255	vcf-50k-asm20-Xcss/Wm82a6_hifi-Clark-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Clark-asm20.sorted.bam	Clark-asm20.sorted.bam	PI591490	3	2136.965	0.4270513589128697	1.25943	5004	4993	0.9978017585931255	vcf-50k-asm20-Xcss/Wm82a6_hifi-Clark-asm20-asm20-Xcss.gtcheck.tsv
