# This file was produced by bcftools (1.23.1+htslib-1.23.1), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t --keep-refs -o updated_gtcheck_fixploidy/Benning.soy50k.fixploidy.gtcheck.tsv -g panel/soy50k.biallelic.snps.vcf.gz updated_fixploidy/Benning.soy50k.fixploidy.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf/05c_vcfs_soy50k
#
INFO	Time required to process one record .. 0.000433 seconds
INFO	sites-compared	41374
INFO	sites-skipped-no-match	26638
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	0
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	41374
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Benning	PI86046	16999	7.566754e-01	41147	24148
DCv2	Benning	PI90208	12485	5.624790e-01	41147	28662
DCv2	Benning	PI219698	15793	6.675676e-01	41147	25354
DCv2	Benning	PI253651A	13424	6.588923e-01	41147	27723
DCv2	Benning	PI347550A	14465	6.127267e-01	41147	26682
DCv2	Benning	PI398807	11851	5.868249e-01	41147	29296
DCv2	Benning	PI408055A	12711	5.544026e-01	41147	28436
DCv2	Benning	PI408069	13089	5.376201e-01	41147	28058
DCv2	Benning	PI408169A	12971	5.827101e-01	41147	28176
DCv2	Benning	PI408169B	12241	5.987016e-01	41147	28906
DCv2	Benning	PI416923	12382	5.689760e-01	41147	28765
DCv2	Benning	PI417472A	12502	5.908087e-01	41147	28645
DCv2	Benning	PI417508	15093	6.386838e-01	41147	26054
DCv2	Benning	PI417521	14487	5.904124e-01	41147	26660
DCv2	Benning	PI423734	12720	5.465372e-01	41147	28427
DCv2	Benning	PI423923	12693	5.748710e-01	41147	28454
DCv2	Benning	PI424145	11898	5.930735e-01	41147	29249
DCv2	Benning	PI424159A	12352	5.808037e-01	41147	28795
DCv2	Benning	PI424241	12793	5.409514e-01	41147	28354
DCv2	Benning	PI424485	12302	5.637308e-01	41147	28845
DCv2	Benning	PI424549B	12237	5.783366e-01	41147	28910
DCv2	Benning	PI437196	13364	5.729298e-01	41147	27783
DCv2	Benning	PI437199	15983	6.776236e-01	41147	25164
DCv2	Benning	PI437619	13801	5.739546e-01	41147	27346
DCv2	Benning	PI437633A	15021	6.605306e-01	41147	26126
DCv2	Benning	PI437649B	12099	6.895625e-01	41147	29048
DCv2	Benning	PI437749	11940	6.542705e-01	41147	29207
DCv2	Benning	PI437833	13332	5.599447e-01	41147	27815
DCv2	Benning	PI437841	13975	5.624436e-01	41147	27172
DCv2	Benning	PI438229	13085	6.272230e-01	41147	28062
DCv2	Benning	PI438249B	15849	6.707222e-01	41147	25298
DCv2	Benning	PI438250B	15564	6.220220e-01	41147	25583
DCv2	Benning	PI438251	13445	7.270953e-01	41147	27702
DCv2	Benning	PI438252A	13177	6.022053e-01	41147	27970
DCv2	Benning	PI438252C	13924	6.064706e-01	41147	27223
DCv2	Benning	PI438313	16166	6.686833e-01	41147	24981
DCv2	Benning	PI445825	13777	6.309814e-01	41147	27370
DCv2	Benning	PI458139	11877	5.885500e-01	41147	29270
DCv2	Benning	PI458181	12794	5.429232e-01	41147	28353
DCv2	Benning	PI506560	12593	5.730650e-01	41147	28554
DCv2	Benning	PI506574	12214	5.958946e-01	41147	28933
DCv2	Benning	PI506575A	12704	5.633304e-01	41147	28443
DCv2	Benning	PI506711B	12387	5.936392e-01	41147	28760
DCv2	Benning	PI506847	12373	5.784876e-01	41147	28774
DCv2	Benning	PI506992	12341	5.812296e-01	41147	28806
DCv2	Benning	PI507344	12088	5.907642e-01	41147	29059
