# This file was produced by bcftools (1.21+htslib-1.21), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t -o 05c_vcfs_soy50k/Clark.soy50k.filtered.gtcheck.tsv -g 05c_vcfs_soy50k/panel/soy50k.biallelic.snps.vcf.gz 05c_vcfs_soy50k/Clark.soy50k.filtered.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf
#
INFO	Time required to process one record .. 0.000219 seconds
INFO	sites-compared	5004
INFO	sites-skipped-no-match	72690
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	25
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	5004
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Clark	PI86046	2284	1.153093e+00	5004	2720
DCv2	Clark	PI90208	2020	7.439176e-01	5004	2984
DCv2	Clark	PI219698	1738	9.217608e-01	5004	3266
DCv2	Clark	PI253651A	2552	8.395251e-01	5004	2452
DCv2	Clark	PI347550A	1554	9.416708e-01	5004	3450
DCv2	Clark	PI398807	2201	7.495657e-01	5004	2803
DCv2	Clark	PI408055A	2043	7.487503e-01	5004	2961
DCv2	Clark	PI408069	2074	7.447884e-01	5004	2930
DCv2	Clark	PI408169A	2081	8.019404e-01	5004	2923
DCv2	Clark	PI408169B	2205	7.605046e-01	5004	2799
DCv2	Clark	PI416923	1828	8.179100e-01	5004	3176
DCv2	Clark	PI417472A	2124	7.594423e-01	5004	2880
DCv2	Clark	PI417508	1678	9.739962e-01	5004	3326
DCv2	Clark	PI417521	1706	8.813464e-01	5004	3298
DCv2	Clark	PI423734	2053	7.083804e-01	5004	2951
DCv2	Clark	PI423923	2137	7.589871e-01	5004	2867
DCv2	Clark	PI424145	2066	7.412185e-01	5004	2938
DCv2	Clark	PI424159A	2454	7.874620e-01	5004	2550
DCv2	Clark	PI424241	1923	7.556241e-01	5004	3081
DCv2	Clark	PI424485	1946	7.520376e-01	5004	3058
DCv2	Clark	PI424549B	2134	7.500301e-01	5004	2870
DCv2	Clark	PI437196	1661	8.687289e-01	5004	3343
DCv2	Clark	PI437199	1807	1.020671e+00	5004	3197
DCv2	Clark	PI437619	2006	8.283204e-01	5004	2998
DCv2	Clark	PI437633A	1470	1.052353e+00	5004	3534
DCv2	Clark	PI437649B	2075	9.759972e-01	5004	2929
