# This file was produced by bcftools (1.23.1+htslib-1.23.1), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t --keep-refs -o updated_gtcheck_fixploidy/Clark.soy50k.fixploidy.gtcheck.tsv -g panel/soy50k.biallelic.snps.vcf.gz updated_fixploidy/Clark.soy50k.fixploidy.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf/05c_vcfs_soy50k
#
INFO	Time required to process one record .. 0.000411 seconds
INFO	sites-compared	41374
INFO	sites-skipped-no-match	36345
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	0
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	41374
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Clark	PI86046	18776	8.107503e-01	41318	22542
DCv2	Clark	PI90208	14085	5.876990e-01	41318	27233
DCv2	Clark	PI219698	19029	6.535328e-01	41318	22289
DCv2	Clark	PI253651A	16429	6.472795e-01	41318	24889
DCv2	Clark	PI347550A	14925	6.861867e-01	41318	26393
DCv2	Clark	PI398807	13800	6.033047e-01	41318	27518
DCv2	Clark	PI408055A	13920	5.921424e-01	41318	27398
DCv2	Clark	PI408069	14348	5.742063e-01	41318	26970
DCv2	Clark	PI408169A	14558	6.129056e-01	41318	26760
DCv2	Clark	PI408169B	14627	5.992617e-01	41318	26691
DCv2	Clark	PI416923	14655	5.711553e-01	41318	26663
DCv2	Clark	PI417472A	14893	5.905719e-01	41318	26425
DCv2	Clark	PI417508	16539	6.872956e-01	41318	24779
DCv2	Clark	PI417521	13245	7.300091e-01	41318	28073
DCv2	Clark	PI423734	14535	5.665250e-01	41318	26783
DCv2	Clark	PI423923	14767	5.922367e-01	41318	26551
DCv2	Clark	PI424145	14758	5.744349e-01	41318	26560
DCv2	Clark	PI424159A	14157	5.998739e-01	41318	27161
DCv2	Clark	PI424241	14177	5.702140e-01	41318	27141
DCv2	Clark	PI424485	13912	5.898085e-01	41318	27406
DCv2	Clark	PI424549B	14418	5.852892e-01	41318	26900
DCv2	Clark	PI437196	14190	6.302030e-01	41318	27128
DCv2	Clark	PI437199	16237	7.781415e-01	41318	25081
DCv2	Clark	PI437619	13516	6.758473e-01	41318	27802
DCv2	Clark	PI437633A	16780	7.034222e-01	41318	24538
DCv2	Clark	PI437649B	14863	6.855819e-01	41318	26455
DCv2	Clark	PI437749	15899	6.021403e-01	41318	25419
DCv2	Clark	PI437833	13654	6.308956e-01	41318	27664
DCv2	Clark	PI437841	13836	6.618915e-01	41318	27482
DCv2	Clark	PI438229	13167	7.131060e-01	41318	28151
DCv2	Clark	PI438249B	16570	7.468722e-01	41318	24748
DCv2	Clark	PI438250B	15589	7.249204e-01	41318	25729
DCv2	Clark	PI438251	13614	8.269175e-01	41318	27704
DCv2	Clark	PI438252A	13031	6.958243e-01	41318	28287
DCv2	Clark	PI438252C	13414	7.137425e-01	41318	27904
DCv2	Clark	PI438313	17071	7.456395e-01	41318	24247
DCv2	Clark	PI445825	14473	7.018864e-01	41318	26845
DCv2	Clark	PI458139	13942	6.008749e-01	41318	27376
DCv2	Clark	PI458181	14428	5.667710e-01	41318	26890
DCv2	Clark	PI506560	15415	5.571835e-01	41318	25903
DCv2	Clark	PI506574	15007	5.857227e-01	41318	26311
DCv2	Clark	PI506575A	14935	5.659289e-01	41318	26383
DCv2	Clark	PI506711B	14813	5.969213e-01	41318	26505
DCv2	Clark	PI506847	15209	5.622631e-01	41318	26109
DCv2	Clark	PI506992	14767	5.792566e-01	41318	26551
DCv2	Clark	PI507344	14634	5.843956e-01	41318	26684
DCv2	Clark	PI507368	13805	6.419149e-01	41318	27513
DCv2	Clark	PI507541	15225	5.738831e-01	41318	26093
DCv2	Clark	PI509111	14323	5.690953e-01	41318	26995
DCv2	Clark	PI548449	15867	5.965122e-01	41318	25451
DCv2	Clark	PI549076A	12637	7.200158e-01	41318	28681
DCv2	Clark	PI561348	15327	5.644397e-01	41318	25991
DCv2	Clark	PI567433A	15379	7.475794e-01	41318	25939
DCv2	Clark	PI567451	18231	7.195154e-01	41318	23087
DCv2	Clark	PI567453	16082	7.403947e-01	41318	25236
DCv2	Clark	PI567518	17267	7.849098e-01	41318	24051
DCv2	Clark	PI567603A	16077	6.510617e-01	41318	25241
DCv2	Clark	PI567679C	16347	6.981808e-01	41318	24971
DCv2	Clark	PI567767C	17244	6.705745e-01	41318	24074
DCv2	Clark	PI578386	13642	7.024282e-01	41318	27676
DCv2	Clark	PI578485A	13526	7.227788e-01	41318	27792
DCv2	Clark	PI587583B	16338	5.830124e-01	41318	24980
DCv2	Clark	PI592948	15356	7.261583e-01	41318	25962
DCv2	Clark	PI594245B	15279	5.666034e-01	41318	26039
DCv2	Clark	PI594401B	16805	6.136840e-01	41318	24513
DCv2	Clark	PI594461A	15632	6.182994e-01	41318	25686
DCv2	Clark	PI594476	15423	6.224835e-01	41318	25895
DCv2	Clark	PI594714	15855	6.361991e-01	41318	25463
DCv2	Clark	PI594817	14692	5.973962e-01	41318	26626
DCv2	Clark	PI594818	14919	5.913389e-01	41318	26399
DCv2	Clark	PI594871	16010	6.119999e-01	41318	25308
DCv2	Clark	PI605782B	15419	6.311820e-01	41318	25899
DCv2	Clark	PI605796	15308	6.183784e-01	41318	26010
DCv2	Clark	PI605844E	14919	6.292122e-01	41318	26399
DCv2	Clark	PI605885C	14892	6.326871e-01	41318	26426
DCv2	Clark	PI605886B	15065	6.316703e-01	41318	26253
DCv2	Clark	PI606393	15305	6.185154e-01	41318	26013
DCv2	Clark	PI606430	15450	6.161723e-01	41318	25868
DCv2	Clark	PI612713B	12811	7.210229e-01	41318	28507
DCv2	Clark	PI612726	14113	6.762785e-01	41318	27205
DCv2	Clark	PI612742	13691	6.791867e-01	41318	27627
DCv2	Clark	PI613559F	14495	6.398840e-01	41318	26823
DCv2	Clark	PI615467	17034	5.699483e-01	41318	24284
DCv2	Clark	PI615472	15604	6.345012e-01	41318	25714
DCv2	Clark	PI615481	15025	6.334980e-01	41318	26293
DCv2	Clark	PI632667	14950	6.437368e-01	41318	26368
DCv2	Clark	PI632944D	16203	6.182204e-01	41318	25115
DCv2	Clark	PI639528C	15318	6.909928e-01	41318	26000
DCv2	Clark	PI639546A	12243	7.806901e-01	41318	29075
DCv2	Clark	PI639558	17972	8.122389e-01	41318	23346
DCv2	Clark	PI639560B	12975	7.241877e-01	41318	28343
DCv2	Clark	PI639607	20634	8.710723e-01	41318	20684
DCv2	Clark	FC31676	16163	5.825669e-01	41318	25155
DCv2	Clark	PI69991	14098	8.159572e-01	41318	27220
DCv2	Clark	PI81023	16999	6.210783e-01	41318	24319
DCv2	Clark	PI84632S	13826	7.381565e-01	41318	27492
DCv2	Clark	PI85559	14179	5.924843e-01	41318	27139
DCv2	Clark	PI86002	18782	8.111663e-01	41318	22536
DCv2	Clark	PI86024	14756	5.926768e-01	41318	26562
DCv2	Clark	PI88312	13523	7.325107e-01	41318	27795
DCv2	Clark	PI91091	13231	6.938454e-01	41318	28087
DCv2	Clark	PI93217	12878	6.833036e-01	41318	28440
DCv2	Clark	PI157401	15930	6.614967e-01	41318	25388
DCv2	Clark	PI174852	16787	6.789589e-01	41318	24531
DCv2	Clark	PI184047	16922	7.357756e-01	41318	24396
DCv2	Clark	PI189941	16371	6.558213e-01	41318	24947
DCv2	Clark	PI196168	13912	6.166877e-01	41318	27406
DCv2	Clark	PI200462	15235	5.704006e-01	41318	26083
DCv2	Clark	PI229339	15062	5.736887e-01	41318	26256
DCv2	Clark	PI238108	16737	6.645369e-01	41318	24581
DCv2	Clark	PI241424	16605	5.698744e-01	41318	24713
DCv2	Clark	PI248404	13194	6.547741e-01	41318	28124
DCv2	Clark	PI274207	13841	6.031410e-01	41318	27477
DCv2	Clark	PI274582	16249	6.578764e-01	41318	25069
DCv2	Clark	PI306704B	15524	6.411167e-01	41318	25794
DCv2	Clark	PI307854	18205	7.213063e-01	41318	23113
DCv2	Clark	PI307865	18796	7.910361e-01	41318	22522
DCv2	Clark	PI307876A	15643	6.368651e-01	41318	25675
DCv2	Clark	PI307888B	18063	7.299296e-01	41318	23255
DCv2	Clark	PI307889C	16607	6.628322e-01	41318	24711
DCv2	Clark	PI317337	14754	5.910372e-01	41318	26564
DCv2	Clark	PI323560	17177	6.784380e-01	41318	24141
DCv2	Clark	PI355070S	11676	7.323658e-01	41318	29642
DCv2	Clark	PI361071B	14832	6.707794e-01	41318	26486
DCv2	Clark	PI361116	11128	7.706685e-01	41318	30190
DCv2	Clark	PI378687B	19132	7.569986e-01	41318	22186
DCv2	Clark	PI398202	14197	5.956267e-01	41318	27121
DCv2	Clark	PI398307	14838	5.937710e-01	41318	26480
DCv2	Clark	PI398399	13796	6.141393e-01	41318	27522
DCv2	Clark	PI398634	15194	5.775799e-01	41318	26124
DCv2	Clark	PI398723	18414	6.046638e-01	41318	22904
DCv2	Clark	PI398772	14166	5.645632e-01	41318	27152
DCv2	Clark	PI398985	14053	6.009140e-01	41318	27265
DCv2	Clark	PI399122	14856	6.047115e-01	41318	26462
DCv2	Clark	PI407099	18912	7.688241e-01	41318	22406
DCv2	Clark	PI407186	19691	8.114421e-01	41318	21627
DCv2	Clark	PI407191	21195	7.485720e-01	41318	20123
DCv2	Clark	PI407795B	14655	6.062696e-01	41318	26663
DCv2	Clark	PI407915	14465	5.830016e-01	41318	26853
DCv2	Clark	PI407916	14742	6.111687e-01	41318	26576
DCv2	Clark	PI407999-1	18430	6.383375e-01	41318	22888
DCv2	Clark	PI408095A	14324	6.013216e-01	41318	26994
