# This file was produced by bcftools (1.21+htslib-1.21), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t -o 05c_vcfs_soy50k/Harosoy.soy50k.filtered.gtcheck.tsv -g 05c_vcfs_soy50k/panel/soy50k.biallelic.snps.vcf.gz 05c_vcfs_soy50k/Harosoy.soy50k.filtered.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf
#
INFO	Time required to process one record .. 0.000213 seconds
INFO	sites-compared	13861
INFO	sites-skipped-no-match	54826
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	100
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	13861
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Harosoy	PI86046	5915	9.774386e-01	13861	7946
DCv2	Harosoy	PI90208	5271	7.527641e-01	13861	8590
DCv2	Harosoy	PI219698	4348	9.120933e-01	13861	9513
DCv2	Harosoy	PI253651A	5889	8.249141e-01	13861	7972
DCv2	Harosoy	PI347550A	3648	1.007077e+00	13861	10213
DCv2	Harosoy	PI398807	5715	7.322338e-01	13861	8146
DCv2	Harosoy	PI408055A	5125	7.664346e-01	13861	8736
DCv2	Harosoy	PI408069	5236	7.596650e-01	13861	8625
DCv2	Harosoy	PI408169A	5510	7.681784e-01	13861	8351
DCv2	Harosoy	PI408169B	5328	7.923942e-01	13861	8533
DCv2	Harosoy	PI416923	5130	7.437519e-01	13861	8731
DCv2	Harosoy	PI417472A	5331	7.528966e-01	13861	8530
DCv2	Harosoy	PI417508	4719	8.929969e-01	13861	9142
DCv2	Harosoy	PI417521	5064	9.213625e-01	13861	8797
DCv2	Harosoy	PI423734	4872	7.619265e-01	13861	8989
DCv2	Harosoy	PI423923	5274	7.710483e-01	13861	8587
DCv2	Harosoy	PI424145	5270	7.519253e-01	13861	8591
DCv2	Harosoy	PI424159A	5765	7.484484e-01	13861	8096
DCv2	Harosoy	PI424241	4850	7.593058e-01	13861	9011
DCv2	Harosoy	PI424485	5132	7.527266e-01	13861	8729
DCv2	Harosoy	PI424549B	5294	7.567422e-01	13861	8567
DCv2	Harosoy	PI437196	837	1.141460e+00	13861	13024
DCv2	Harosoy	PI437199	5696	9.683051e-01	13861	8165
DCv2	Harosoy	PI437619	5077	9.143352e-01	13861	8784
DCv2	Harosoy	PI437633A	4140	1.031247e+00	13861	9721
DCv2	Harosoy	PI437649B	5206	9.164616e-01	13861	8655
DCv2	Harosoy	PI437749	6051	7.871088e-01	13861	7810
DCv2	Harosoy	PI437833	3799	9.530838e-01	13861	10062
DCv2	Harosoy	PI437841	4506	9.265463e-01	13861	9355
DCv2	Harosoy	PI438229	5151	9.227573e-01	13861	8710
DCv2	Harosoy	PI438249B	5901	1.004934e+00	13861	7960
DCv2	Harosoy	PI438250B	5216	9.113307e-01	13861	8645
DCv2	Harosoy	PI438251	6586	9.408937e-01	13861	7275
DCv2	Harosoy	PI438252A	4148	9.123152e-01	13861	9713
DCv2	Harosoy	PI438252C	4209	9.725053e-01	13861	9652
DCv2	Harosoy	PI438313	5195	9.440995e-01	13861	8666
DCv2	Harosoy	PI445825	5285	8.739762e-01	13861	8576
DCv2	Harosoy	PI458139	5642	7.392285e-01	13861	8219
DCv2	Harosoy	PI458181	4967	7.694037e-01	13861	8894
DCv2	Harosoy	PI506560	5071	7.666934e-01	13861	8790
DCv2	Harosoy	PI506574	5362	7.404050e-01	13861	8499
DCv2	Harosoy	PI506575A	5245	7.383797e-01	13861	8616
DCv2	Harosoy	PI506711B	5089	7.849280e-01	13861	8772
DCv2	Harosoy	PI506847	5023	7.660250e-01	13861	8838
DCv2	Harosoy	PI506992	5133	7.693217e-01	13861	8728
DCv2	Harosoy	PI507344	5266	7.558333e-01	13861	8595
DCv2	Harosoy	PI507368	2470	1.010698e+00	13861	11391
DCv2	Harosoy	PI507541	5278	7.486671e-01	13861	8583
DCv2	Harosoy	PI509111	5125	7.401256e-01	13861	8736
DCv2	Harosoy	PI548449	5180	8.122643e-01	13861	8681
DCv2	Harosoy	PI549076A	4744	9.222331e-01	13861	9117
DCv2	Harosoy	PI561348	5125	7.687927e-01	13861	8736
DCv2	Harosoy	PI567433A	5576	9.246409e-01	13861	8285
DCv2	Harosoy	PI567451	4082	9.746399e-01	13861	9779
DCv2	Harosoy	PI567453	5739	9.309917e-01	13861	8122
DCv2	Harosoy	PI567518	6703	1.007462e+00	13861	7158
DCv2	Harosoy	PI567603A	5917	7.806805e-01	13861	7944
DCv2	Harosoy	PI567679C	6046	8.609011e-01	13861	7815
DCv2	Harosoy	PI567767C	5965	8.496611e-01	13861	7896
DCv2	Harosoy	PI578386	3756	1.009406e+00	13861	10105
DCv2	Harosoy	PI578485A	5625	8.508492e-01	13861	8236
DCv2	Harosoy	PI587583B	5716	7.772058e-01	13861	8145
DCv2	Harosoy	PI592948	5468	9.257145e-01	13861	8393
DCv2	Harosoy	PI594245B	5182	7.640581e-01	13861	8679
DCv2	Harosoy	PI594401B	6126	8.464796e-01	13861	7735
DCv2	Harosoy	PI594461A	5889	7.718595e-01	13861	7972
DCv2	Harosoy	PI594476	5918	8.039694e-01	13861	7943
DCv2	Harosoy	PI594714	6367	7.740292e-01	13861	7494
DCv2	Harosoy	PI594817	5449	7.727651e-01	13861	8412
DCv2	Harosoy	PI594818	5354	7.745260e-01	13861	8507
DCv2	Harosoy	PI594871	6100	8.087408e-01	13861	7761
DCv2	Harosoy	PI605782B	5962	8.093513e-01	13861	7899
DCv2	Harosoy	PI605796	6075	7.757664e-01	13861	7786
DCv2	Harosoy	PI605844E	6000	7.553692e-01	13861	7861
DCv2	Harosoy	PI605885C	5845	7.889901e-01	13861	8016
DCv2	Harosoy	PI605886B	5964	7.701369e-01	13861	7897
DCv2	Harosoy	PI606393	6073	7.769186e-01	13861	7788
DCv2	Harosoy	PI606430	5960	7.859012e-01	13861	7901
DCv2	Harosoy	PI612713B	5361	8.634785e-01	13861	8500
