# This file was produced by bcftools (1.23.1+htslib-1.23.1), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t --keep-refs -o updated_gtcheck_fixploidy/Harosoy.soy50k.fixploidy.gtcheck.tsv -g panel/soy50k.biallelic.snps.vcf.gz updated_fixploidy/Harosoy.soy50k.fixploidy.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf/05c_vcfs_soy50k
#
INFO	Time required to process one record .. 0.000418 seconds
INFO	sites-compared	41374
INFO	sites-skipped-no-match	27413
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	0
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	41374
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Harosoy	PI86046	17124	6.932509e-01	41190	24066
DCv2	Harosoy	PI90208	11671	5.427432e-01	41190	29519
DCv2	Harosoy	PI219698	15333	6.321373e-01	41190	25857
DCv2	Harosoy	PI253651A	14195	5.761777e-01	41190	26995
DCv2	Harosoy	PI347550A	10182	7.005746e-01	41190	31008
DCv2	Harosoy	PI398807	11912	5.358383e-01	41190	29278
DCv2	Harosoy	PI408055A	11161	5.562788e-01	41190	30029
DCv2	Harosoy	PI408069	11754	5.355799e-01	41190	29436
DCv2	Harosoy	PI408169A	12506	5.498221e-01	41190	28684
DCv2	Harosoy	PI408169B	11948	5.570997e-01	41190	29242
DCv2	Harosoy	PI416923	12341	5.214172e-01	41190	28849
DCv2	Harosoy	PI417472A	12392	5.422871e-01	41190	28798
DCv2	Harosoy	PI417508	13701	6.327814e-01	41190	27489
DCv2	Harosoy	PI417521	11032	6.616889e-01	41190	30158
DCv2	Harosoy	PI423734	11247	5.479780e-01	41190	29943
DCv2	Harosoy	PI423923	12126	5.435306e-01	41190	29064
DCv2	Harosoy	PI424145	12249	5.293783e-01	41190	28941
DCv2	Harosoy	PI424159A	11864	5.471712e-01	41190	29326
DCv2	Harosoy	PI424241	11109	5.484422e-01	41190	30081
DCv2	Harosoy	PI424485	11367	5.489732e-01	41190	29823
DCv2	Harosoy	PI424549B	11817	5.438043e-01	41190	29373
DCv2	Harosoy	PI437196	3602	7.978108e-01	41190	37588
DCv2	Harosoy	PI437199	15113	6.462008e-01	41190	26077
DCv2	Harosoy	PI437619	10747	6.320393e-01	41190	30443
DCv2	Harosoy	PI437633A	13198	6.712856e-01	41190	27992
DCv2	Harosoy	PI437649B	12199	6.374846e-01	41190	28991
DCv2	Harosoy	PI437749	13706	5.408774e-01	41190	27484
DCv2	Harosoy	PI437833	8733	6.585225e-01	41190	32457
DCv2	Harosoy	PI437841	9869	6.489191e-01	41190	31321
DCv2	Harosoy	PI438229	10519	6.527339e-01	41190	30671
DCv2	Harosoy	PI438249B	14915	6.538003e-01	41190	26275
DCv2	Harosoy	PI438250B	13679	6.387463e-01	41190	27511
DCv2	Harosoy	PI438251	13555	6.703943e-01	41190	27635
DCv2	Harosoy	PI438252A	9675	6.612117e-01	41190	31515
DCv2	Harosoy	PI438252C	10104	6.818557e-01	41190	31086
DCv2	Harosoy	PI438313	15160	6.451211e-01	41190	26030
DCv2	Harosoy	PI445825	12337	6.244469e-01	41190	28853
DCv2	Harosoy	PI458139	11953	5.369299e-01	41190	29237
DCv2	Harosoy	PI458181	11106	5.502551e-01	41190	30084
DCv2	Harosoy	PI506560	12272	5.349860e-01	41190	28918
DCv2	Harosoy	PI506574	12781	5.289550e-01	41190	28409
DCv2	Harosoy	PI506575A	12492	5.219802e-01	41190	28698
DCv2	Harosoy	PI506711B	12216	5.510352e-01	41190	28974
DCv2	Harosoy	PI506847	12076	5.394308e-01	41190	29114
DCv2	Harosoy	PI506992	12165	5.349618e-01	41190	29025
DCv2	Harosoy	PI507344	12280	5.311525e-01	41190	28910
DCv2	Harosoy	PI507368	6079	7.367391e-01	41190	35111
DCv2	Harosoy	PI507541	12536	5.317178e-01	41190	28654
DCv2	Harosoy	PI509111	11335	5.420699e-01	41190	29855
DCv2	Harosoy	PI548449	12537	5.764774e-01	41190	28653
DCv2	Harosoy	PI549076A	9655	6.770252e-01	41190	31535
DCv2	Harosoy	PI561348	12376	5.350843e-01	41190	28814
DCv2	Harosoy	PI567433A	13970	6.386200e-01	41190	27220
DCv2	Harosoy	PI567451	14842	6.760771e-01	41190	26348
DCv2	Harosoy	PI567453	14612	6.253070e-01	41190	26578
DCv2	Harosoy	PI567518	16501	6.420177e-01	41190	24689
DCv2	Harosoy	PI567603A	14693	5.555493e-01	41190	26497
DCv2	Harosoy	PI567679C	14962	5.888993e-01	41190	26228
DCv2	Harosoy	PI567767C	15280	5.821786e-01	41190	25910
DCv2	Harosoy	PI578386	8445	7.220497e-01	41190	32745
DCv2	Harosoy	PI578485A	11905	6.291188e-01	41190	29285
DCv2	Harosoy	PI587583B	13506	5.456032e-01	41190	27684
DCv2	Harosoy	PI592948	13450	6.329046e-01	41190	27740
DCv2	Harosoy	PI594245B	12411	5.341959e-01	41190	28779
DCv2	Harosoy	PI594401B	14027	5.679050e-01	41190	27163
DCv2	Harosoy	PI594461A	13745	5.438309e-01	41190	27445
DCv2	Harosoy	PI594476	13325	5.595608e-01	41190	27865
DCv2	Harosoy	PI594714	14512	5.393452e-01	41190	26678
DCv2	Harosoy	PI594817	12065	5.550767e-01	41190	29125
DCv2	Harosoy	PI594818	12192	5.531138e-01	41190	28998
DCv2	Harosoy	PI594871	13636	5.522261e-01	41190	27554
DCv2	Harosoy	PI605782B	13613	5.595820e-01	41190	27577
DCv2	Harosoy	PI605796	13637	5.405517e-01	41190	27553
DCv2	Harosoy	PI605844E	13438	5.417750e-01	41190	27752
DCv2	Harosoy	PI605885C	12889	5.649579e-01	41190	28301
DCv2	Harosoy	PI605886B	13377	5.538753e-01	41190	27813
DCv2	Harosoy	PI606393	13630	5.408366e-01	41190	27560
DCv2	Harosoy	PI606430	13533	5.455852e-01	41190	27657
DCv2	Harosoy	PI612713B	11224	6.320658e-01	41190	29966
DCv2	Harosoy	PI612726	11586	6.176883e-01	41190	29604
DCv2	Harosoy	PI612742	10948	6.345514e-01	41190	30242
DCv2	Harosoy	PI613559F	12456	5.783820e-01	41190	28734
DCv2	Harosoy	PI615467	13529	5.585311e-01	41190	27661
DCv2	Harosoy	PI615472	13884	5.564720e-01	41190	27306
DCv2	Harosoy	PI615481	13354	5.528448e-01	41190	27836
DCv2	Harosoy	PI632667	13332	5.547361e-01	41190	27858
DCv2	Harosoy	PI632944D	13492	5.719128e-01	41190	27698
DCv2	Harosoy	PI639528C	12499	6.397049e-01	41190	28691
DCv2	Harosoy	PI639546A	11298	6.672512e-01	41190	29892
DCv2	Harosoy	PI639558	16326	6.842471e-01	41190	24864
DCv2	Harosoy	PI639560B	11370	6.270036e-01	41190	29820
DCv2	Harosoy	PI639607	19248	7.233299e-01	41190	21942
DCv2	Harosoy	FC31676	13577	5.357995e-01	41190	27613
DCv2	Harosoy	PI69991	13769	6.659128e-01	41190	27421
DCv2	Harosoy	PI81023	14123	5.760639e-01	41190	27067
DCv2	Harosoy	PI84632S	12498	6.306485e-01	41190	28692
DCv2	Harosoy	PI85559	11732	5.451194e-01	41190	29458
DCv2	Harosoy	PI86002	17133	6.937597e-01	41190	24057
DCv2	Harosoy	PI86024	12271	5.433169e-01	41190	28919
DCv2	Harosoy	PI88312	12041	6.436587e-01	41190	29149
DCv2	Harosoy	PI91091	10644	6.348818e-01	41190	30546
DCv2	Harosoy	PI93217	9641	6.503139e-01	41190	31549
DCv2	Harosoy	PI157401	13711	5.955539e-01	41190	27479
DCv2	Harosoy	PI174852	14715	6.014030e-01	41190	26475
DCv2	Harosoy	PI184047	15395	6.239304e-01	41190	25795
DCv2	Harosoy	PI189941	13535	6.061663e-01	41190	27655
DCv2	Harosoy	PI196168	11600	5.559142e-01	41190	29590
DCv2	Harosoy	PI200462	12439	5.361840e-01	41190	28751
DCv2	Harosoy	PI229339	12124	5.446654e-01	41190	29066
DCv2	Harosoy	PI238108	14662	5.869442e-01	41190	26528
DCv2	Harosoy	PI241424	12994	5.555861e-01	41190	28196
DCv2	Harosoy	PI248404	8099	6.743280e-01	41190	33091
DCv2	Harosoy	PI274207	11429	5.490284e-01	41190	29761
DCv2	Harosoy	PI274582	14221	5.752330e-01	41190	26969
DCv2	Harosoy	PI306704B	13343	5.743405e-01	41190	27847
DCv2	Harosoy	PI307854	15587	6.539202e-01	41190	25603
DCv2	Harosoy	PI307865	16876	6.856946e-01	41190	24314
DCv2	Harosoy	PI307876A	13529	5.659313e-01	41190	27661
DCv2	Harosoy	PI307888B	15589	6.568995e-01	41190	25601
DCv2	Harosoy	PI307889C	13981	6.092722e-01	41190	27209
DCv2	Harosoy	PI317337	12048	5.500081e-01	41190	29142
DCv2	Harosoy	PI323560	14464	6.242936e-01	41190	26726
DCv2	Harosoy	PI355070S	11659	5.938433e-01	41190	29531
DCv2	Harosoy	PI361071B	12196	6.116907e-01	41190	28994
DCv2	Harosoy	PI361116	9336	6.880705e-01	41190	31854
DCv2	Harosoy	PI378687B	17187	6.575265e-01	41190	24003
DCv2	Harosoy	PI398202	11442	5.583513e-01	41190	29748
DCv2	Harosoy	PI398307	12681	5.358978e-01	41190	28509
DCv2	Harosoy	PI398399	11588	5.514755e-01	41190	29602
DCv2	Harosoy	PI398634	12539	5.384530e-01	41190	28651
DCv2	Harosoy	PI398723	14947	5.875236e-01	41190	26243
DCv2	Harosoy	PI398772	11340	5.341177e-01	41190	29850
DCv2	Harosoy	PI398985	11769	5.502463e-01	41190	29421
DCv2	Harosoy	PI399122	13108	5.306023e-01	41190	28082
DCv2	Harosoy	PI407099	17188	6.602111e-01	41190	24002
DCv2	Harosoy	PI407186	18308	6.809833e-01	41190	22882
DCv2	Harosoy	PI407191	17944	6.926142e-01	41190	23246
DCv2	Harosoy	PI407795B	12168	5.533065e-01	41190	29022
DCv2	Harosoy	PI407915	11987	5.381934e-01	41190	29203
DCv2	Harosoy	PI407916	12367	5.517549e-01	41190	28823
DCv2	Harosoy	PI407999-1	14221	6.399743e-01	41190	26969
DCv2	Harosoy	PI408095A	12078	5.489276e-01	41190	29112
DCv2	Harosoy	PI408304	12002	5.520557e-01	41190	29188
DCv2	Harosoy	PI415072	12396	6.401500e-01	41190	28794
DCv2	Harosoy	PI417072	12385	5.365738e-01	41190	28805
DCv2	Harosoy	PI417115	13315	5.472231e-01	41190	27875
DCv2	Harosoy	PI417128	12514	5.379359e-01	41190	28676
DCv2	Harosoy	PI417286	12516	5.254942e-01	41190	28674
DCv2	Harosoy	PI417472C	12711	5.355621e-01	41190	28479
DCv2	Harosoy	PI417502	13922	5.791281e-01	41190	27268
DCv2	Harosoy	PI423842	12546	5.360004e-01	41190	28644
DCv2	Harosoy	PI423982	12616	5.283204e-01	41190	28574
DCv2	Harosoy	PI423992	18869	7.131142e-01	41190	22321
DCv2	Harosoy	PI424028	17386	6.222672e-01	41190	23804
DCv2	Harosoy	PI424248	11440	5.451417e-01	41190	29750
DCv2	Harosoy	PI424249E	11678	5.343830e-01	41190	29512
DCv2	Harosoy	PI424324B	12338	5.476928e-01	41190	28852
DCv2	Harosoy	PI424376	11566	5.439136e-01	41190	29624
DCv2	Harosoy	PI424443	11418	5.488735e-01	41190	29772
DCv2	Harosoy	PI434975	13477	5.673558e-01	41190	27713
DCv2	Harosoy	PI437079A	12193	6.972095e-01	41190	28997
DCv2	Harosoy	PI437150	14769	6.503925e-01	41190	26421
DCv2	Harosoy	PI437299	13299	5.829322e-01	41190	27891
DCv2	Harosoy	PI437341	12397	7.315857e-01	41190	28793
DCv2	Harosoy	PI437378C	7041	7.267835e-01	41190	34149
DCv2	Harosoy	PI437441	11285	6.672876e-01	41190	29905
DCv2	Harosoy	PI437615A	9137	7.191014e-01	41190	32053
DCv2	Harosoy	PI437673	11542	6.164733e-01	41190	29648
DCv2	Harosoy	PI437690	17581	7.290230e-01	41190	23609
DCv2	Harosoy	PI437721A	13475	5.557713e-01	41190	27715
DCv2	Harosoy	PI437863B	13601	6.200112e-01	41190	27589
DCv2	Harosoy	PI437892	8605	6.745847e-01	41190	32585
DCv2	Harosoy	PI438015	7463	7.396889e-01	41190	33727
DCv2	Harosoy	PI438037	3891	7.955171e-01	41190	37299
DCv2	Harosoy	PI438058	10981	6.829571e-01	41190	30209
DCv2	Harosoy	PI438177	14018	6.582651e-01	41190	27172
DCv2	Harosoy	PI438250A	14074	6.495124e-01	41190	27116
DCv2	Harosoy	PI438252B	10022	6.845246e-01	41190	31168
DCv2	Harosoy	PI438355	13713	6.328753e-01	41190	27477
DCv2	Harosoy	PI438381	10337	6.142227e-01	41190	30853
DCv2	Harosoy	PI438438	13383	5.522114e-01	41190	27807
DCv2	Harosoy	PI442003B	13255	5.537454e-01	41190	27935
DCv2	Harosoy	PI442031	8809	7.165088e-01	41190	32381
DCv2	Harosoy	PI442041	12044	5.697164e-01	41190	29146
DCv2	Harosoy	PI442045	10938	6.841365e-01	41190	30252
DCv2	Harosoy	PI458091	11341	5.439422e-01	41190	29849
DCv2	Harosoy	PI458165	12221	5.380566e-01	41190	28969
DCv2	Harosoy	PI464890A	18870	7.131526e-01	41190	22320
DCv2	Harosoy	PI467322B	15256	6.370426e-01	41190	25934
DCv2	Harosoy	PI468916	21768	8.069530e-01	41190	19422
DCv2	Harosoy	PI475815	16176	6.393751e-01	41190	25014
DCv2	Harosoy	PI476903	13074	5.637818e-01	41190	28116
DCv2	Harosoy	PI479744	18385	7.191712e-01	41190	22805
DCv2	Harosoy	PI494181	12644	5.523702e-01	41190	28546
DCv2	Harosoy	PI495832	8944	7.685650e-01	41190	32246
DCv2	Harosoy	PI503333	13790	6.171614e-01	41190	27400
DCv2	Harosoy	PI504490	12216	5.296599e-01	41190	28974
DCv2	Harosoy	PI506737	16841	6.972821e-01	41190	24349
DCv2	Harosoy	PI506848	12436	5.291543e-01	41190	28754
DCv2	Harosoy	PI506860	12342	5.421741e-01	41190	28848
DCv2	Harosoy	PI506862	13888	5.762932e-01	41190	27302
DCv2	Harosoy	PI506928	12726	5.368922e-01	41190	28464
DCv2	Harosoy	PI507028	11711	5.371705e-01	41190	29479
DCv2	Harosoy	PI507069	15455	6.112248e-01	41190	25735
DCv2	Harosoy	PI507162	10894	6.026889e-01	41190	30296
DCv2	Harosoy	PI507222	11791	5.531048e-01	41190	29399
DCv2	Harosoy	PI507294B	13541	6.656407e-01	41190	27649
DCv2	Harosoy	PI507396	11768	5.428056e-01	41190	29422
DCv2	Harosoy	PI507406B	12344	5.212192e-01	41190	28846
DCv2	Harosoy	PI507452	12474	5.284544e-01	41190	28716
DCv2	Harosoy	PI507636	17266	6.540662e-01	41190	23924
DCv2	Harosoy	PI507687B	10287	6.559813e-01	41190	30903
DCv2	Harosoy	PI507706	12739	6.691418e-01	41190	28451
DCv2	Harosoy	PI507723A	19009	7.119841e-01	41190	22181
DCv2	Harosoy	PI507766	17840	6.976097e-01	41190	23350
DCv2	Harosoy	PI509109	10963	5.562815e-01	41190	30227
DCv2	Harosoy	PI522209B	18842	7.143357e-01	41190	22348
DCv2	Harosoy	PI534645	13313	7.097014e-01	41190	27877
DCv2	Harosoy	PI538403	12370	5.176800e-01	41190	28820
DCv2	Harosoy	PI543832	11762	6.229506e-01	41190	29428
DCv2	Harosoy	PI547570	12143	7.333148e-01	41190	29047
