# This file was produced by bcftools (1.21+htslib-1.21), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t -o 05c_vcfs_soy50k/Jackv3.soy50k.filtered.gtcheck.tsv -g 05c_vcfs_soy50k/panel/soy50k.biallelic.snps.vcf.gz 05c_vcfs_soy50k/Jackv3.soy50k.filtered.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf
#
INFO	Time required to process one record .. 0.000205 seconds
INFO	sites-compared	8908
INFO	sites-skipped-no-match	64496
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	218
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	8908
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Jackv3	PI86046	3376	1.304267e+00	8908	5532
DCv2	Jackv3	PI90208	4133	8.293450e-01	8908	4775
DCv2	Jackv3	PI219698	2926	1.178925e+00	8908	5982
DCv2	Jackv3	PI253651A	4169	9.007997e-01	8908	4739
DCv2	Jackv3	PI347550A	3634	1.065242e+00	8908	5274
DCv2	Jackv3	PI398807	4387	8.049936e-01	8908	4521
DCv2	Jackv3	PI408055A	4288	7.904136e-01	8908	4620
DCv2	Jackv3	PI408069	4417	7.501053e-01	8908	4491
DCv2	Jackv3	PI408169A	4250	8.385038e-01	8908	4658
DCv2	Jackv3	PI408169B	4059	8.500342e-01	8908	4849
DCv2	Jackv3	PI416923	4175	7.916029e-01	8908	4733
DCv2	Jackv3	PI417472A	4098	8.267568e-01	8908	4810
DCv2	Jackv3	PI417508	3403	1.163986e+00	8908	5505
DCv2	Jackv3	PI417521	4118	1.064681e+00	8908	4790
DCv2	Jackv3	PI423734	4082	7.833881e-01	8908	4826
DCv2	Jackv3	PI423923	4208	8.320983e-01	8908	4700
DCv2	Jackv3	PI424145	4332	7.944296e-01	8908	4576
DCv2	Jackv3	PI424159A	4242	7.949091e-01	8908	4666
DCv2	Jackv3	PI424241	4169	7.858947e-01	8908	4739
DCv2	Jackv3	PI424485	4102	7.987817e-01	8908	4806
DCv2	Jackv3	PI424549B	4233	7.871520e-01	8908	4675
DCv2	Jackv3	PI437196	3171	1.034275e+00	8908	5737
DCv2	Jackv3	PI437199	3378	1.213230e+00	8908	5530
DCv2	Jackv3	PI437619	4551	8.666369e-01	8908	4357
DCv2	Jackv3	PI437633A	3373	1.205464e+00	8908	5535
DCv2	Jackv3	PI437649B	3472	1.050942e+00	8908	5436
DCv2	Jackv3	PI437749	3999	8.814000e-01	8908	4909
DCv2	Jackv3	PI437833	4042	9.568916e-01	8908	4866
DCv2	Jackv3	PI437841	4175	9.016898e-01	8908	4733
DCv2	Jackv3	PI438229	3524	1.089741e+00	8908	5384
DCv2	Jackv3	PI438249B	3720	1.196953e+00	8908	5188
DCv2	Jackv3	PI438250B	3521	1.172354e+00	8908	5387
DCv2	Jackv3	PI438251	4150	1.204160e+00	8908	4758
DCv2	Jackv3	PI438252A	3724	9.980008e-01	8908	5184
DCv2	Jackv3	PI438252C	3995	9.812261e-01	8908	4913
DCv2	Jackv3	PI438313	3138	1.221184e+00	8908	5770
DCv2	Jackv3	PI445825	3972	9.736742e-01	8908	4936
DCv2	Jackv3	PI458139	4327	8.157092e-01	8908	4581
DCv2	Jackv3	PI458181	4252	7.637360e-01	8908	4656
DCv2	Jackv3	PI506560	4245	7.736313e-01	8908	4663
DCv2	Jackv3	PI506574	3974	8.337281e-01	8908	4934
DCv2	Jackv3	PI506575A	4058	7.956047e-01	8908	4850
DCv2	Jackv3	PI506711B	3954	8.528532e-01	8908	4954
DCv2	Jackv3	PI506847	3916	8.247562e-01	8908	4992
DCv2	Jackv3	PI506992	4216	8.153061e-01	8908	4692
DCv2	Jackv3	PI507344	4232	8.218685e-01	8908	4676
DCv2	Jackv3	PI507368	3765	9.335041e-01	8908	5143
DCv2	Jackv3	PI507541	4337	8.020156e-01	8908	4571
DCv2	Jackv3	PI509111	4224	7.877892e-01	8908	4684
DCv2	Jackv3	PI548449	3876	8.923424e-01	8908	5032
DCv2	Jackv3	PI549076A	3767	1.045292e+00	8908	5141
DCv2	Jackv3	PI561348	4144	7.923554e-01	8908	4764
DCv2	Jackv3	PI567433A	3721	1.153939e+00	8908	5187
DCv2	Jackv3	PI567451	2449	1.238805e+00	8908	6459
DCv2	Jackv3	PI567453	3582	1.131235e+00	8908	5326
DCv2	Jackv3	PI567518	3998	1.201154e+00	8908	4910
DCv2	Jackv3	PI567603A	3738	9.872169e-01	8908	5170
DCv2	Jackv3	PI567679C	3925	1.010299e+00	8908	4983
DCv2	Jackv3	PI567767C	3909	9.931273e-01	8908	4999
DCv2	Jackv3	PI578386	3458	1.101916e+00	8908	5450
DCv2	Jackv3	PI578485A	4033	9.775502e-01	8908	4875
DCv2	Jackv3	PI587583B	4015	8.524666e-01	8908	4893
DCv2	Jackv3	PI592948	3808	1.121030e+00	8908	5100
DCv2	Jackv3	PI594245B	4172	7.898683e-01	8908	4736
DCv2	Jackv3	PI594401B	3998	9.205866e-01	8908	4910
DCv2	Jackv3	PI594461A	3992	9.272826e-01	8908	4916
DCv2	Jackv3	PI594476	4264	8.785306e-01	8908	4644
DCv2	Jackv3	PI594714	4156	8.979258e-01	8908	4752
DCv2	Jackv3	PI594817	4177	8.292939e-01	8908	4731
DCv2	Jackv3	PI594818	4106	8.394991e-01	8908	4802
DCv2	Jackv3	PI594871	3972	9.212262e-01	8908	4936
DCv2	Jackv3	PI605782B	3996	9.380775e-01	8908	4912
DCv2	Jackv3	PI605796	3857	9.318257e-01	8908	5051
DCv2	Jackv3	PI605844E	4277	8.844386e-01	8908	4631
DCv2	Jackv3	PI605885C	3981	8.790768e-01	8908	4927
DCv2	Jackv3	PI605886B	4084	8.808944e-01	8908	4824
