# This file was produced by bcftools (1.23.1+htslib-1.23.1), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t --keep-refs -o updated_gtcheck_fixploidy/Jackv3.soy50k.fixploidy.gtcheck.tsv -g panel/soy50k.biallelic.snps.vcf.gz updated_fixploidy/Jackv3.soy50k.fixploidy.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf/05c_vcfs_soy50k
#
INFO	Time required to process one record .. 0.000416 seconds
INFO	sites-compared	41374
INFO	sites-skipped-no-match	32248
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	0
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	41374
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Jackv3	PI86046	16729	8.837405e-01	40648	23919
DCv2	Jackv3	PI90208	14178	5.819803e-01	40648	26470
DCv2	Jackv3	PI219698	17170	7.248154e-01	40648	23478
DCv2	Jackv3	PI253651A	15513	6.800113e-01	40648	25135
DCv2	Jackv3	PI347550A	14945	6.884208e-01	40648	25703
DCv2	Jackv3	PI398807	14069	5.886281e-01	40648	26579
DCv2	Jackv3	PI408055A	14287	5.751904e-01	40648	26361
DCv2	Jackv3	PI408069	14897	5.497648e-01	40648	25751
DCv2	Jackv3	PI408169A	14759	6.022855e-01	40648	25889
DCv2	Jackv3	PI408169B	14187	6.118476e-01	40648	26461
DCv2	Jackv3	PI416923	15218	5.449951e-01	40648	25430
DCv2	Jackv3	PI417472A	14725	5.870992e-01	40648	25923
DCv2	Jackv3	PI417508	15790	7.138078e-01	40648	24858
DCv2	Jackv3	PI417521	13937	7.110687e-01	40648	26711
DCv2	Jackv3	PI423734	14445	5.657310e-01	40648	26203
DCv2	Jackv3	PI423923	14786	5.779912e-01	40648	25862
DCv2	Jackv3	PI424145	15140	5.512508e-01	40648	25508
DCv2	Jackv3	PI424159A	13617	6.247860e-01	40648	27031
DCv2	Jackv3	PI424241	14528	5.543760e-01	40648	26120
DCv2	Jackv3	PI424485	14104	5.808770e-01	40648	26544
DCv2	Jackv3	PI424549B	14470	5.825824e-01	40648	26178
DCv2	Jackv3	PI437196	13056	6.711369e-01	40648	27592
DCv2	Jackv3	PI437199	15204	8.041030e-01	40648	25444
DCv2	Jackv3	PI437619	14523	6.380305e-01	40648	26125
DCv2	Jackv3	PI437633A	16389	7.113429e-01	40648	24259
DCv2	Jackv3	PI437649B	13491	7.328882e-01	40648	27157
DCv2	Jackv3	PI437749	14359	6.612521e-01	40648	26289
DCv2	Jackv3	PI437833	14004	6.217171e-01	40648	26644
DCv2	Jackv3	PI437841	14004	6.477948e-01	40648	26644
DCv2	Jackv3	PI438229	12056	7.457576e-01	40648	28592
DCv2	Jackv3	PI438249B	15308	7.945073e-01	40648	25340
DCv2	Jackv3	PI438250B	15029	7.400029e-01	40648	25619
DCv2	Jackv3	PI438251	13445	8.265348e-01	40648	27203
DCv2	Jackv3	PI438252A	13628	6.717233e-01	40648	27020
DCv2	Jackv3	PI438252C	14475	6.760370e-01	40648	26173
DCv2	Jackv3	PI438313	15755	7.857113e-01	40648	24893
DCv2	Jackv3	PI445825	14467	6.898553e-01	40648	26181
DCv2	Jackv3	PI458139	14137	5.890532e-01	40648	26511
DCv2	Jackv3	PI458181	14461	5.611163e-01	40648	26187
DCv2	Jackv3	PI506560	15402	5.523788e-01	40648	25246
DCv2	Jackv3	PI506574	14770	5.882674e-01	40648	25878
DCv2	Jackv3	PI506575A	14911	5.613457e-01	40648	25737
DCv2	Jackv3	PI506711B	14725	5.905873e-01	40648	25923
DCv2	Jackv3	PI506847	14626	5.769882e-01	40648	26022
DCv2	Jackv3	PI506992	15098	5.582198e-01	40648	25550
DCv2	Jackv3	PI507344	14997	5.610622e-01	40648	25651
DCv2	Jackv3	PI507368	13448	6.484604e-01	40648	27200
DCv2	Jackv3	PI507541	15430	5.559861e-01	40648	25218
DCv2	Jackv3	PI509111	14327	5.655131e-01	40648	26321
DCv2	Jackv3	PI548449	14711	6.372999e-01	40648	25937
DCv2	Jackv3	PI549076A	12517	7.228877e-01	40648	28131
DCv2	Jackv3	PI561348	15186	5.625203e-01	40648	25462
DCv2	Jackv3	PI567433A	14995	7.606413e-01	40648	25653
