# This file was produced by bcftools (1.21+htslib-1.21), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t -o 05c_vcfs_soy50k/Kingawa.soy50k.filtered.gtcheck.tsv -g 05c_vcfs_soy50k/panel/soy50k.biallelic.snps.vcf.gz 05c_vcfs_soy50k/Kingawa.soy50k.filtered.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf
#
INFO	Time required to process one record .. 0.000194 seconds
INFO	sites-compared	17512
INFO	sites-skipped-no-match	47390
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	167
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	17512
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Kingawa	PI86046	6056	1.622218e+00	17512	11456
DCv2	Kingawa	PI90208	10167	8.740288e-01	17512	7345
DCv2	Kingawa	PI219698	6470	1.421301e+00	17512	11042
DCv2	Kingawa	PI253651A	8017	1.307448e+00	17512	9495
DCv2	Kingawa	PI347550A	8970	1.235713e+00	17512	8542
DCv2	Kingawa	PI398807	10917	8.204596e-01	17512	6595
DCv2	Kingawa	PI408055A	10282	8.726848e-01	17512	7230
DCv2	Kingawa	PI408069	10317	8.406355e-01	17512	7195
DCv2	Kingawa	PI408169A	9997	9.768334e-01	17512	7515
DCv2	Kingawa	PI408169B	9674	9.876505e-01	17512	7838
DCv2	Kingawa	PI416923	9999	8.860780e-01	17512	7513
DCv2	Kingawa	PI417472A	9918	9.506853e-01	17512	7594
DCv2	Kingawa	PI417508	7660	1.400642e+00	17512	9852
DCv2	Kingawa	PI417521	9930	1.164501e+00	17512	7582
DCv2	Kingawa	PI423734	10040	8.858779e-01	17512	7472
DCv2	Kingawa	PI423923	10214	8.981401e-01	17512	7298
DCv2	Kingawa	PI424145	10174	8.643449e-01	17512	7338
DCv2	Kingawa	PI424159A	10542	8.952786e-01	17512	6970
DCv2	Kingawa	PI424241	10093	8.549917e-01	17512	7419
DCv2	Kingawa	PI424485	10440	8.345492e-01	17512	7072
DCv2	Kingawa	PI424549B	10124	8.888577e-01	17512	7388
DCv2	Kingawa	PI437196	9614	1.013825e+00	17512	7898
DCv2	Kingawa	PI437199	6674	1.514402e+00	17512	10838
DCv2	Kingawa	PI437619	10240	1.024732e+00	17512	7272
DCv2	Kingawa	PI437633A	7674	1.393822e+00	17512	9838
