# This file was produced by bcftools (1.23.1+htslib-1.23.1), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t --keep-refs -o updated_gtcheck_fixploidy/Kingawa.soy50k.fixploidy.gtcheck.tsv -g panel/soy50k.biallelic.snps.vcf.gz updated_fixploidy/Kingawa.soy50k.fixploidy.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf/05c_vcfs_soy50k
#
INFO	Time required to process one record .. 0.000405 seconds
INFO	sites-compared	41374
INFO	sites-skipped-no-match	23695
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	0
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	41374
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Kingawa	PI86046	13679	1.115579e+00	41047	27368
DCv2	Kingawa	PI90208	17767	5.821277e-01	41047	23280
DCv2	Kingawa	PI219698	15840	9.344210e-01	41047	25207
DCv2	Kingawa	PI253651A	14733	8.548804e-01	41047	26314
DCv2	Kingawa	PI347550A	17129	7.628896e-01	41047	23918
DCv2	Kingawa	PI398807	18641	5.476269e-01	41047	22406
DCv2	Kingawa	PI408055A	17783	5.811233e-01	41047	23264
DCv2	Kingawa	PI408069	18222	5.573398e-01	41047	22825
DCv2	Kingawa	PI408169A	17779	6.320640e-01	41047	23268
DCv2	Kingawa	PI408169B	16937	6.478851e-01	41047	24110
DCv2	Kingawa	PI416923	18386	5.580318e-01	41047	22661
DCv2	Kingawa	PI417472A	17886	6.099742e-01	41047	23161
DCv2	Kingawa	PI417508	15871	8.799170e-01	41047	25176
DCv2	Kingawa	PI417521	17085	7.412193e-01	41047	23962
DCv2	Kingawa	PI423734	17900	5.754825e-01	41047	23147
DCv2	Kingawa	PI423923	18312	5.843737e-01	41047	22735
DCv2	Kingawa	PI424145	18361	5.637333e-01	41047	22686
DCv2	Kingawa	PI424159A	17730	6.041062e-01	41047	23317
DCv2	Kingawa	PI424241	17898	5.608696e-01	41047	23149
DCv2	Kingawa	PI424485	18296	5.567996e-01	41047	22751
DCv2	Kingawa	PI424549B	17784	5.969365e-01	41047	23263
DCv2	Kingawa	PI437196	17497	6.444089e-01	41047	23550
DCv2	Kingawa	PI437199	13339	1.017405e+00	41047	27708
DCv2	Kingawa	PI437619	17378	6.772008e-01	41047	23669
DCv2	Kingawa	PI437633A	16555	8.715443e-01	41047	24492
DCv2	Kingawa	PI437649B	15122	8.333460e-01	41047	25925
DCv2	Kingawa	PI437749	15715	7.499340e-01	41047	25332
DCv2	Kingawa	PI437833	17812	6.157524e-01	41047	23235
DCv2	Kingawa	PI437841	17075	6.806383e-01	41047	23972
DCv2	Kingawa	PI438229	17176	7.113941e-01	41047	23871
DCv2	Kingawa	PI438249B	13922	9.776237e-01	41047	27125
DCv2	Kingawa	PI438250B	14353	8.995576e-01	41047	26694
DCv2	Kingawa	PI438251	14039	9.590164e-01	41047	27008
DCv2	Kingawa	PI438252A	17156	6.927640e-01	41047	23891
DCv2	Kingawa	PI438252C	17132	7.337862e-01	41047	23915
DCv2	Kingawa	PI438313	13644	1.016820e+00	41047	27403
DCv2	Kingawa	PI445825	16118	7.913269e-01	41047	24929
DCv2	Kingawa	PI458139	18619	5.524102e-01	41047	22428
DCv2	Kingawa	PI458181	18203	5.511784e-01	41047	22844
DCv2	Kingawa	PI506560	18229	5.810556e-01	41047	22818
DCv2	Kingawa	PI506574	17848	6.109282e-01	41047	23199
DCv2	Kingawa	PI506575A	18601	5.567873e-01	41047	22446
DCv2	Kingawa	PI506711B	17841	6.140214e-01	41047	23206
DCv2	Kingawa	PI506847	17822	5.929609e-01	41047	23225
DCv2	Kingawa	PI506992	18679	5.567669e-01	41047	22368
DCv2	Kingawa	PI507344	18530	5.632889e-01	41047	22517
DCv2	Kingawa	PI507368	17718	6.271956e-01	41047	23329
DCv2	Kingawa	PI507541	18268	5.855813e-01	41047	22779
DCv2	Kingawa	PI509111	17944	5.629269e-01	41047	23103
DCv2	Kingawa	PI548449	17156	6.916818e-01	41047	23891
DCv2	Kingawa	PI549076A	16636	7.234313e-01	41047	24411
DCv2	Kingawa	PI561348	18364	5.785535e-01	41047	22683
DCv2	Kingawa	PI567433A	13547	9.713097e-01	41047	27500
DCv2	Kingawa	PI567451	13535	1.037590e+00	41047	27512
DCv2	Kingawa	PI567453	13004	9.895658e-01	41047	28043
DCv2	Kingawa	PI567518	11686	1.098519e+00	41047	29361
DCv2	Kingawa	PI567603A	14384	8.640301e-01	41047	26663
DCv2	Kingawa	PI567679C	12968	9.505001e-01	41047	28079
DCv2	Kingawa	PI567767C	14168	9.365778e-01	41047	26879
DCv2	Kingawa	PI578386	16179	7.563428e-01	41047	24868
DCv2	Kingawa	PI578485A	16878	7.395795e-01	41047	24169
DCv2	Kingawa	PI587583B	16143	7.322819e-01	41047	24904
DCv2	Kingawa	PI592948	14097	9.231913e-01	41047	26950
DCv2	Kingawa	PI594245B	18426	5.762096e-01	41047	22621
DCv2	Kingawa	PI594401B	15407	8.061147e-01	41047	25640
DCv2	Kingawa	PI594461A	16312	7.396447e-01	41047	24735
DCv2	Kingawa	PI594476	16293	7.364129e-01	41047	24754
DCv2	Kingawa	PI594714	15589	7.903729e-01	41047	25458
DCv2	Kingawa	PI594817	16844	6.576595e-01	41047	24203
DCv2	Kingawa	PI594818	16665	6.676655e-01	41047	24382
DCv2	Kingawa	PI594871	16088	7.558973e-01	41047	24959
DCv2	Kingawa	PI605782B	15983	7.540073e-01	41047	25064
DCv2	Kingawa	PI605796	16245	7.263644e-01	41047	24802
DCv2	Kingawa	PI605844E	16754	7.032034e-01	41047	24293
DCv2	Kingawa	PI605885C	16055	7.362805e-01	41047	24992
DCv2	Kingawa	PI605886B	15679	7.562381e-01	41047	25368
DCv2	Kingawa	PI606393	16251	7.261221e-01	41047	24796
DCv2	Kingawa	PI606430	16240	7.295142e-01	41047	24807
DCv2	Kingawa	PI612713B	15926	7.659615e-01	41047	25121
DCv2	Kingawa	PI612726	15589	7.693528e-01	41047	25458
DCv2	Kingawa	PI612742	16429	7.318308e-01	41047	24618
DCv2	Kingawa	PI613559F	17076	6.868147e-01	41047	23971
DCv2	Kingawa	PI615467	15995	7.602043e-01	41047	25052
DCv2	Kingawa	PI615472	16280	7.557008e-01	41047	24767
DCv2	Kingawa	PI615481	15931	7.412186e-01	41047	25116
DCv2	Kingawa	PI632667	15906	7.442619e-01	41047	25141
DCv2	Kingawa	PI632944D	15681	7.781008e-01	41047	25366
DCv2	Kingawa	PI639528C	15133	8.435366e-01	41047	25914
DCv2	Kingawa	PI639546A	16905	7.575732e-01	41047	24142
DCv2	Kingawa	PI639558	13216	1.108576e+00	41047	27831
DCv2	Kingawa	PI639560B	17644	6.956092e-01	41047	23403
DCv2	Kingawa	PI639607	17302	1.149884e+00	41047	23745
DCv2	Kingawa	FC31676	16916	6.912779e-01	41047	24131
DCv2	Kingawa	PI69991	14212	9.592842e-01	41047	26835
DCv2	Kingawa	PI81023	16931	7.795639e-01	41047	24116
DCv2	Kingawa	PI84632S	14838	8.548214e-01	41047	26209
DCv2	Kingawa	PI85559	18049	5.820530e-01	41047	22998
DCv2	Kingawa	PI86002	13684	1.115930e+00	41047	27363
DCv2	Kingawa	PI86024	17435	6.275652e-01	41047	23612
DCv2	Kingawa	PI88312	16691	7.800017e-01	41047	24356
DCv2	Kingawa	PI91091	17418	6.882313e-01	41047	23629
DCv2	Kingawa	PI93217	17641	6.516862e-01	41047	23406
DCv2	Kingawa	PI157401	17623	7.640671e-01	41047	23424
DCv2	Kingawa	PI174852	15017	8.938045e-01	41047	26030
DCv2	Kingawa	PI184047	13918	9.973408e-01	41047	27129
DCv2	Kingawa	PI189941	15700	8.399509e-01	41047	25347
DCv2	Kingawa	PI196168	18326	5.846646e-01	41047	22721
DCv2	Kingawa	PI200462	17977	5.997424e-01	41047	23070
DCv2	Kingawa	PI229339	18081	5.936315e-01	41047	22966
DCv2	Kingawa	PI238108	17389	7.924375e-01	41047	23658
DCv2	Kingawa	PI241424	18435	6.344846e-01	41047	22612
DCv2	Kingawa	PI248404	17808	6.142402e-01	41047	23239
DCv2	Kingawa	PI274207	18012	5.788210e-01	41047	23035
DCv2	Kingawa	PI274582	15968	8.063080e-01	41047	25079
DCv2	Kingawa	PI306704B	16114	7.647129e-01	41047	24933
DCv2	Kingawa	PI307854	14696	9.941367e-01	41047	26351
DCv2	Kingawa	PI307865	13123	1.112112e+00	41047	27924
DCv2	Kingawa	PI307876A	15596	7.800281e-01	41047	25451
DCv2	Kingawa	PI307888B	14565	9.998110e-01	41047	26482
DCv2	Kingawa	PI307889C	15461	8.520840e-01	41047	25586
DCv2	Kingawa	PI317337	17934	6.039882e-01	41047	23113
DCv2	Kingawa	PI323560	15375	8.961959e-01	41047	25672
DCv2	Kingawa	PI355070S	18157	6.385447e-01	41047	22890
DCv2	Kingawa	PI361071B	16177	7.592495e-01	41047	24870
DCv2	Kingawa	PI361116	17046	7.181939e-01	41047	24001
DCv2	Kingawa	PI378687B	17368	9.879085e-01	41047	23679
DCv2	Kingawa	PI398202	17838	5.968771e-01	41047	23209
DCv2	Kingawa	PI398307	17436	6.305333e-01	41047	23611
DCv2	Kingawa	PI398399	18159	5.831249e-01	41047	22888
DCv2	Kingawa	PI398634	17784	6.177746e-01	41047	23263
DCv2	Kingawa	PI398723	17152	8.182019e-01	41047	23895
DCv2	Kingawa	PI398772	18370	5.360004e-01	41047	22677
DCv2	Kingawa	PI398985	17673	6.029203e-01	41047	23374
DCv2	Kingawa	PI399122	17734	6.312901e-01	41047	23313
DCv2	Kingawa	PI407099	17391	9.909937e-01	41047	23656
DCv2	Kingawa	PI407186	17511	1.060458e+00	41047	23536
DCv2	Kingawa	PI407191	17695	1.053443e+00	41047	23352
DCv2	Kingawa	PI407795B	17114	6.515056e-01	41047	23933
DCv2	Kingawa	PI407915	17879	5.889036e-01	41047	23168
DCv2	Kingawa	PI407916	17006	6.623818e-01	41047	24041
DCv2	Kingawa	PI407999-1	17949	8.348878e-01	41047	23098
DCv2	Kingawa	PI408095A	18194	5.931668e-01	41047	22853
DCv2	Kingawa	PI408304	17455	6.298603e-01	41047	23592
DCv2	Kingawa	PI415072	16062	8.076617e-01	41047	24985
DCv2	Kingawa	PI417072	18618	5.718916e-01	41047	22429
DCv2	Kingawa	PI417115	16363	7.144217e-01	41047	24684
DCv2	Kingawa	PI417128	18107	5.995574e-01	41047	22940
DCv2	Kingawa	PI417286	17975	5.882674e-01	41047	23072
DCv2	Kingawa	PI417472C	17736	6.192574e-01	41047	23311
DCv2	Kingawa	PI417502	15157	8.267571e-01	41047	25890
DCv2	Kingawa	PI423842	17363	6.283664e-01	41047	23684
DCv2	Kingawa	PI423982	18468	5.778890e-01	41047	22579
DCv2	Kingawa	PI423992	17237	1.125662e+00	41047	23810
DCv2	Kingawa	PI424028	18149	9.399620e-01	41047	22898
DCv2	Kingawa	PI424248	17747	5.828049e-01	41047	23300
DCv2	Kingawa	PI424249E	17821	5.726140e-01	41047	23226
DCv2	Kingawa	PI424324B	17850	6.148974e-01	41047	23197
DCv2	Kingawa	PI424376	18016	5.779808e-01	41047	23031
DCv2	Kingawa	PI424443	18015	5.780256e-01	41047	23032
DCv2	Kingawa	PI434975	16192	7.598645e-01	41047	24855
DCv2	Kingawa	PI437079A	14611	9.254351e-01	41047	26436
DCv2	Kingawa	PI437150	13823	9.947280e-01	41047	27224
DCv2	Kingawa	PI437299	15626	7.933812e-01	41047	25421
DCv2	Kingawa	PI437341	15371	9.335526e-01	41047	25676
DCv2	Kingawa	PI437378C	17091	6.688511e-01	41047	23956
DCv2	Kingawa	PI437441	16903	7.571754e-01	41047	24144
DCv2	Kingawa	PI437615A	17556	7.220895e-01	41047	23491
DCv2	Kingawa	PI437673	16332	7.428093e-01	41047	24715
DCv2	Kingawa	PI437690	8684	1.277666e+00	41047	32363
DCv2	Kingawa	PI437721A	16490	7.298940e-01	41047	24557
DCv2	Kingawa	PI437863B	16410	8.309386e-01	41047	24637
DCv2	Kingawa	PI437892	17903	6.329041e-01	41047	23144
DCv2	Kingawa	PI438015	16332	7.454837e-01	41047	24715
DCv2	Kingawa	PI438037	17550	6.453371e-01	41047	23497
DCv2	Kingawa	PI438058	15845	8.118374e-01	41047	25202
DCv2	Kingawa	PI438177	14897	9.368214e-01	41047	26150
DCv2	Kingawa	PI438250A	12071	1.013524e+00	41047	28976
DCv2	Kingawa	PI438252B	17130	7.246062e-01	41047	23917
DCv2	Kingawa	PI438355	15877	8.803559e-01	41047	25170
DCv2	Kingawa	PI438381	17215	6.494352e-01	41047	23832
DCv2	Kingawa	PI438438	16063	7.415000e-01	41047	24984
DCv2	Kingawa	PI442003B	16302	7.255000e-01	41047	24745
DCv2	Kingawa	PI442031	16977	7.287412e-01	41047	24070
DCv2	Kingawa	PI442041	17564	6.470089e-01	41047	23483
DCv2	Kingawa	PI442045	16303	7.968048e-01	41047	24744
DCv2	Kingawa	PI458091	18261	5.530635e-01	41047	22786
DCv2	Kingawa	PI458165	18104	5.879309e-01	41047	22943
DCv2	Kingawa	PI464890A	17234	1.125849e+00	41047	23813
