# This file was produced by bcftools (1.21+htslib-1.21), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t -o 05c_vcfs_soy50k/Minsoy.soy50k.filtered.gtcheck.tsv -g 05c_vcfs_soy50k/panel/soy50k.biallelic.snps.vcf.gz 05c_vcfs_soy50k/Minsoy.soy50k.filtered.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf
#
INFO	Time required to process one record .. 0.000197 seconds
INFO	sites-compared	18535
INFO	sites-skipped-no-match	45324
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	177
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	18535
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Minsoy	PI86046	7816	1.447668e+00	18535	10719
DCv2	Minsoy	PI90208	9249	8.441519e-01	18535	9286
DCv2	Minsoy	PI219698	6755	1.267393e+00	18535	11780
DCv2	Minsoy	PI253651A	8792	1.122464e+00	18535	9743
DCv2	Minsoy	PI347550A	8694	1.047089e+00	18535	9841
DCv2	Minsoy	PI398807	9616	8.377631e-01	18535	8919
DCv2	Minsoy	PI408055A	9286	8.430691e-01	18535	9249
DCv2	Minsoy	PI408069	9347	8.311468e-01	18535	9188
DCv2	Minsoy	PI408169A	9074	9.261320e-01	18535	9461
DCv2	Minsoy	PI408169B	8976	9.145698e-01	18535	9559
DCv2	Minsoy	PI416923	9292	8.128779e-01	18535	9243
DCv2	Minsoy	PI417472A	9520	8.404779e-01	18535	9015
DCv2	Minsoy	PI417508	7991	1.171090e+00	18535	10544
DCv2	Minsoy	PI417521	9543	1.018551e+00	18535	8992
DCv2	Minsoy	PI423734	9213	8.325805e-01	18535	9322
DCv2	Minsoy	PI423923	9469	8.251934e-01	18535	9066
DCv2	Minsoy	PI424145	9435	8.262572e-01	18535	9100
DCv2	Minsoy	PI424159A	9900	8.510384e-01	18535	8635
DCv2	Minsoy	PI424241	9051	8.177621e-01	18535	9484
DCv2	Minsoy	PI424485	9174	8.389752e-01	18535	9361
DCv2	Minsoy	PI424549B	9644	8.248459e-01	18535	8891
DCv2	Minsoy	PI437196	8923	9.397760e-01	18535	9612
DCv2	Minsoy	PI437199	3462	1.554130e+00	18535	15073
DCv2	Minsoy	PI437619	9923	9.168481e-01	18535	8612
DCv2	Minsoy	PI437633A	6127	1.356073e+00	18535	12408
