# This file was produced by bcftools (1.21+htslib-1.21), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t -o 05c_vcfs_soy50k/MiyakoWhite.soy50k.filtered.gtcheck.tsv -g 05c_vcfs_soy50k/panel/soy50k.biallelic.snps.vcf.gz 05c_vcfs_soy50k/MiyakoWhite.soy50k.filtered.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf
#
INFO	Time required to process one record .. 0.000202 seconds
INFO	sites-compared	15903
INFO	sites-skipped-no-match	50560
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	191
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	15903
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	MiyakoWhite	PI86046	6527	1.159144e+00	15903	9376
DCv2	MiyakoWhite	PI90208	6717	7.827760e-01	15903	9186
DCv2	MiyakoWhite	PI219698	5254	1.048280e+00	15903	10649
DCv2	MiyakoWhite	PI253651A	6375	9.688574e-01	15903	9528
DCv2	MiyakoWhite	PI347550A	6798	8.880103e-01	15903	9105
DCv2	MiyakoWhite	PI398807	6980	7.810531e-01	15903	8923
DCv2	MiyakoWhite	PI408055A	6877	7.667477e-01	15903	9026
DCv2	MiyakoWhite	PI408069	6473	8.081719e-01	15903	9430
DCv2	MiyakoWhite	PI408169A	6589	8.670459e-01	15903	9314
DCv2	MiyakoWhite	PI408169B	6529	8.564217e-01	15903	9374
DCv2	MiyakoWhite	PI416923	6090	8.228366e-01	15903	9813
DCv2	MiyakoWhite	PI417472A	6226	8.614285e-01	15903	9677
DCv2	MiyakoWhite	PI417508	6594	9.253580e-01	15903	9309
DCv2	MiyakoWhite	PI417521	7824	8.423433e-01	15903	8079
DCv2	MiyakoWhite	PI423734	6509	7.890455e-01	15903	9394
DCv2	MiyakoWhite	PI423923	6366	8.658826e-01	15903	9537
DCv2	MiyakoWhite	PI424145	6192	8.373325e-01	15903	9711
DCv2	MiyakoWhite	PI424159A	7046	7.938720e-01	15903	8857
DCv2	MiyakoWhite	PI424241	6556	7.806237e-01	15903	9347
DCv2	MiyakoWhite	PI424485	6793	7.821383e-01	15903	9110
DCv2	MiyakoWhite	PI424549B	6235	8.365729e-01	15903	9668
DCv2	MiyakoWhite	PI437196	6728	8.377453e-01	15903	9175
DCv2	MiyakoWhite	PI437199	6854	1.033580e+00	15903	9049
DCv2	MiyakoWhite	PI437619	7532	8.244507e-01	15903	8371
DCv2	MiyakoWhite	PI437633A	6048	1.008012e+00	15903	9855
DCv2	MiyakoWhite	PI437649B	7506	8.565603e-01	15903	8397
DCv2	MiyakoWhite	PI437749	6479	8.903146e-01	15903	9424
DCv2	MiyakoWhite	PI437833	6853	8.257584e-01	15903	9050
DCv2	MiyakoWhite	PI437841	7246	8.248765e-01	15903	8657
DCv2	MiyakoWhite	PI438229	7718	8.491114e-01	15903	8185
DCv2	MiyakoWhite	PI438249B	6938	1.052214e+00	15903	8965
DCv2	MiyakoWhite	PI438250B	6383	1.029906e+00	15903	9520
DCv2	MiyakoWhite	PI438251	8483	1.009082e+00	15903	7420
DCv2	MiyakoWhite	PI438252A	7112	8.569864e-01	15903	8791
DCv2	MiyakoWhite	PI438252C	7084	8.994177e-01	15903	8819
DCv2	MiyakoWhite	PI438313	6290	1.027822e+00	15903	9613
DCv2	MiyakoWhite	PI445825	7147	8.983758e-01	15903	8756
DCv2	MiyakoWhite	PI458139	6915	7.859715e-01	15903	8988
DCv2	MiyakoWhite	PI458181	6437	8.116210e-01	15903	9466
