# This file was produced by bcftools (1.23.1+htslib-1.23.1), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t --keep-refs -o updated_gtcheck_fixploidy/MiyakoWhite.soy50k.fixploidy.gtcheck.tsv -g panel/soy50k.biallelic.snps.vcf.gz updated_fixploidy/MiyakoWhite.soy50k.fixploidy.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf/05c_vcfs_soy50k
#
INFO	Time required to process one record .. 0.000405 seconds
INFO	sites-compared	41374
INFO	sites-skipped-no-match	25280
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	0
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	41374
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	MiyakoWhite	PI86046	16213	7.781747e-01	41012	24799
DCv2	MiyakoWhite	PI90208	12428	5.590186e-01	41012	28584
DCv2	MiyakoWhite	PI219698	14988	6.999069e-01	41012	26024
DCv2	MiyakoWhite	PI253651A	13036	6.639718e-01	41012	27976
DCv2	MiyakoWhite	PI347550A	14368	6.111273e-01	41012	26644
DCv2	MiyakoWhite	PI398807	12320	5.659210e-01	41012	28692
DCv2	MiyakoWhite	PI408055A	12543	5.539331e-01	41012	28469
DCv2	MiyakoWhite	PI408069	12104	5.653152e-01	41012	28908
DCv2	MiyakoWhite	PI408169A	12531	5.942541e-01	41012	28481
DCv2	MiyakoWhite	PI408169B	12220	5.935965e-01	41012	28792
DCv2	MiyakoWhite	PI416923	12142	5.707380e-01	41012	28870
DCv2	MiyakoWhite	PI417472A	12050	5.991512e-01	41012	28962
DCv2	MiyakoWhite	PI417508	15324	6.261829e-01	41012	25688
DCv2	MiyakoWhite	PI417521	14450	5.913536e-01	41012	26562
DCv2	MiyakoWhite	PI423734	12401	5.539344e-01	41012	28611
DCv2	MiyakoWhite	PI423923	12175	5.878506e-01	41012	28837
DCv2	MiyakoWhite	PI424145	11972	5.826204e-01	41012	29040
DCv2	MiyakoWhite	PI424159A	12322	5.756645e-01	41012	28690
DCv2	MiyakoWhite	PI424241	12391	5.484017e-01	41012	28621
DCv2	MiyakoWhite	PI424485	12558	5.531825e-01	41012	28454
DCv2	MiyakoWhite	PI424549B	11559	5.968270e-01	41012	29453
DCv2	MiyakoWhite	PI437196	13297	5.714272e-01	41012	27715
DCv2	MiyakoWhite	PI437199	15304	6.986629e-01	41012	25708
