# This file was produced by bcftools (1.21+htslib-1.21), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t -o 05c_vcfs_soy50k/PI407303.soy50k.filtered.gtcheck.tsv -g 05c_vcfs_soy50k/panel/soy50k.biallelic.snps.vcf.gz 05c_vcfs_soy50k/PI407303.soy50k.filtered.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf
#
INFO	Time required to process one record .. 0.000198 seconds
INFO	sites-compared	20046
INFO	sites-skipped-no-match	42068
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	294
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	20046
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	PI407303	PI86046	8236	1.664649e+00	20046	11810
DCv2	PI407303	PI90208	11529	9.009872e-01	20046	8517
DCv2	PI407303	PI219698	8100	1.473441e+00	20046	11946
DCv2	PI407303	PI253651A	10425	1.222425e+00	20046	9621
DCv2	PI407303	PI347550A	10868	1.152463e+00	20046	9178
DCv2	PI407303	PI398807	11743	9.025516e-01	20046	8303
DCv2	PI407303	PI408055A	11659	9.009218e-01	20046	8387
DCv2	PI407303	PI408069	11326	9.216025e-01	20046	8720
DCv2	PI407303	PI408169A	11097	1.018075e+00	20046	8949
DCv2	PI407303	PI408169B	11302	9.835072e-01	20046	8744
DCv2	PI407303	PI416923	10816	9.679854e-01	20046	9230
DCv2	PI407303	PI417472A	10924	1.004005e+00	20046	9122
DCv2	PI407303	PI417508	10019	1.278476e+00	20046	10027
DCv2	PI407303	PI417521	11814	1.077913e+00	20046	8232
DCv2	PI407303	PI423734	11245	9.198177e-01	20046	8801
DCv2	PI407303	PI423923	11146	9.873458e-01	20046	8900
DCv2	PI407303	PI424145	11016	9.708801e-01	20046	9030
DCv2	PI407303	PI424159A	11821	9.343075e-01	20046	8225
DCv2	PI407303	PI424241	11326	8.909791e-01	20046	8720
DCv2	PI407303	PI424485	11464	9.128444e-01	20046	8582
DCv2	PI407303	PI424549B	11214	9.656431e-01	20046	8832
DCv2	PI407303	PI437196	11334	9.967055e-01	20046	8712
DCv2	PI407303	PI437199	9737	1.396530e+00	20046	10309
DCv2	PI407303	PI437619	11985	9.861419e-01	20046	8061
DCv2	PI407303	PI437633A	9707	1.303919e+00	20046	10339
DCv2	PI407303	PI437649B	11240	1.117411e+00	20046	8806
DCv2	PI407303	PI437749	10958	1.102796e+00	20046	9088
DCv2	PI407303	PI437833	11532	9.708699e-01	20046	8514
DCv2	PI407303	PI437841	11643	9.997537e-01	20046	8403
DCv2	PI407303	PI438229	12018	1.027012e+00	20046	8028
DCv2	PI407303	PI438249B	10113	1.379425e+00	20046	9933
DCv2	PI407303	PI438250B	9845	1.338803e+00	20046	10201
DCv2	PI407303	PI438251	11964	1.219199e+00	20046	8082
DCv2	PI407303	PI438252A	11425	1.060108e+00	20046	8621
DCv2	PI407303	PI438252C	11287	1.123810e+00	20046	8759
DCv2	PI407303	PI438313	9327	1.381933e+00	20046	10719
DCv2	PI407303	PI445825	11214	1.127302e+00	20046	8832
DCv2	PI407303	PI458139	11656	9.125215e-01	20046	8390
DCv2	PI407303	PI458181	11343	9.133053e-01	20046	8703
DCv2	PI407303	PI506560	10673	9.889555e-01	20046	9373
DCv2	PI407303	PI506574	10662	1.021760e+00	20046	9384
DCv2	PI407303	PI506575A	10808	9.903661e-01	20046	9238
DCv2	PI407303	PI506711B	10739	1.019523e+00	20046	9307
DCv2	PI407303	PI506847	10814	9.771775e-01	20046	9232
DCv2	PI407303	PI506992	10948	9.754955e-01	20046	9098
DCv2	PI407303	PI507344	10988	9.749005e-01	20046	9058
DCv2	PI407303	PI507368	11574	9.681319e-01	20046	8472
DCv2	PI407303	PI507541	10854	1.006249e+00	20046	9192
DCv2	PI407303	PI509111	11487	9.075189e-01	20046	8559
DCv2	PI407303	PI548449	10681	1.103638e+00	20046	9365
DCv2	PI407303	PI549076A	12118	1.005249e+00	20046	7928
DCv2	PI407303	PI561348	10684	9.954056e-01	20046	9362
DCv2	PI407303	PI567433A	10432	1.320956e+00	20046	9614
DCv2	PI407303	PI567451	8414	1.445654e+00	20046	11632
DCv2	PI407303	PI567453	10289	1.295079e+00	20046	9757
DCv2	PI407303	PI567518	10228	1.430694e+00	20046	9818
DCv2	PI407303	PI567603A	10468	1.205636e+00	20046	9578
DCv2	PI407303	PI567679C	10209	1.270012e+00	20046	9837
DCv2	PI407303	PI567767C	10144	1.294378e+00	20046	9902
DCv2	PI407303	PI578386	11812	1.031092e+00	20046	8234
DCv2	PI407303	PI578485A	11785	1.087239e+00	20046	8261
DCv2	PI407303	PI587583B	10766	1.087411e+00	20046	9280
DCv2	PI407303	PI592948	10611	1.231075e+00	20046	9435
DCv2	PI407303	PI594245B	10734	9.924956e-01	20046	9312
DCv2	PI407303	PI594401B	10918	1.145713e+00	20046	9128
DCv2	PI407303	PI594461A	10747	1.126682e+00	20046	9299
DCv2	PI407303	PI594476	11147	1.089995e+00	20046	8899
DCv2	PI407303	PI594714	10837	1.139878e+00	20046	9209
DCv2	PI407303	PI594817	11313	9.893666e-01	20046	8733
DCv2	PI407303	PI594818	11094	1.005972e+00	20046	8952
DCv2	PI407303	PI594871	11213	1.108832e+00	20046	8833
DCv2	PI407303	PI605782B	10980	1.099190e+00	20046	9066
DCv2	PI407303	PI605796	10931	1.101190e+00	20046	9115
DCv2	PI407303	PI605844E	11111	1.075118e+00	20046	8935
DCv2	PI407303	PI605885C	11316	1.071349e+00	20046	8730
DCv2	PI407303	PI605886B	11096	1.098861e+00	20046	8950
DCv2	PI407303	PI606393	10929	1.101515e+00	20046	9117
DCv2	PI407303	PI606430	10865	1.106133e+00	20046	9181
DCv2	PI407303	PI612713B	11948	1.038229e+00	20046	8098
DCv2	PI407303	PI612726	11604	1.030695e+00	20046	8442
DCv2	PI407303	PI612742	11627	1.023234e+00	20046	8419
DCv2	PI407303	PI613559F	11312	1.012315e+00	20046	8734
DCv2	PI407303	PI615467	9934	1.154158e+00	20046	10112
DCv2	PI407303	PI615472	11045	1.148591e+00	20046	9001
DCv2	PI407303	PI615481	11145	1.081270e+00	20046	8901
DCv2	PI407303	PI632667	10881	1.119580e+00	20046	9165
DCv2	PI407303	PI632944D	10424	1.170925e+00	20046	9622
DCv2	PI407303	PI639528C	10976	1.199514e+00	20046	9070
DCv2	PI407303	PI639546A	11749	1.115434e+00	20046	8297
DCv2	PI407303	PI639558	9356	1.582399e+00	20046	10690
DCv2	PI407303	PI639560B	11956	1.030780e+00	20046	8090
DCv2	PI407303	PI639607	5056	1.931868e+00	20046	14990
DCv2	PI407303	FC31676	11038	1.049305e+00	20046	9008
DCv2	PI407303	PI69991	11930	1.229584e+00	20046	8116
DCv2	PI407303	PI81023	8672	1.287717e+00	20046	11374
DCv2	PI407303	PI84632S	11741	1.109830e+00	20046	8305
DCv2	PI407303	PI85559	11868	9.167064e-01	20046	8178
DCv2	PI407303	PI86002	8229	1.665563e+00	20046	11817
DCv2	PI407303	PI86024	10964	1.003951e+00	20046	9082
DCv2	PI407303	PI88312	11807	1.125006e+00	20046	8239
DCv2	PI407303	PI91091	11865	1.026999e+00	20046	8181
DCv2	PI407303	PI93217	12110	9.759824e-01	20046	7936
DCv2	PI407303	PI157401	9987	1.247042e+00	20046	10059
DCv2	PI407303	PI174852	10125	1.384510e+00	20046	9921
DCv2	PI407303	PI184047	9393	1.365198e+00	20046	10653
DCv2	PI407303	PI189941	10052	1.233045e+00	20046	9994
DCv2	PI407303	PI196168	11541	9.269032e-01	20046	8505
DCv2	PI407303	PI200462	10677	1.017480e+00	20046	9369
DCv2	PI407303	PI229339	10862	1.003370e+00	20046	9184
DCv2	PI407303	PI238108	9158	1.408154e+00	20046	10888
DCv2	PI407303	PI241424	9761	1.142045e+00	20046	10285
DCv2	PI407303	PI248404	11886	9.383841e-01	20046	8160
DCv2	PI407303	PI274207	11864	8.916094e-01	20046	8182
DCv2	PI407303	PI274582	11157	1.152381e+00	20046	8889
DCv2	PI407303	PI306704B	10890	1.159882e+00	20046	9156
DCv2	PI407303	PI307854	8691	1.548946e+00	20046	11355
DCv2	PI407303	PI307865	8476	1.651115e+00	20046	11570
DCv2	PI407303	PI307876A	10825	1.140526e+00	20046	9221
DCv2	PI407303	PI307888B	8731	1.549520e+00	20046	11315
DCv2	PI407303	PI307889C	10146	1.309225e+00	20046	9900
DCv2	PI407303	PI317337	11000	9.925335e-01	20046	9046
DCv2	PI407303	PI323560	9668	1.418931e+00	20046	10378
DCv2	PI407303	PI355070S	12264	9.910558e-01	20046	7782
DCv2	PI407303	PI361071B	11022	1.136646e+00	20046	9024
DCv2	PI407303	PI361116	13215	9.666194e-01	20046	6831
DCv2	PI407303	PI378687B	6294	1.774180e+00	20046	13752
DCv2	PI407303	PI398202	11390	9.599383e-01	20046	8656
DCv2	PI407303	PI398307	10972	1.005118e+00	20046	9074
DCv2	PI407303	PI398399	11345	9.219572e-01	20046	8701
DCv2	PI407303	PI398634	11013	1.001477e+00	20046	9033
DCv2	PI407303	PI398723	9154	1.321854e+00	20046	10892
DCv2	PI407303	PI398772	11483	8.816404e-01	20046	8563
DCv2	PI407303	PI398985	11385	9.412085e-01	20046	8661
DCv2	PI407303	PI399122	10937	1.026400e+00	20046	9109
DCv2	PI407303	PI407099	6559	1.770652e+00	20046	13487
DCv2	PI407303	PI407186	5747	1.860398e+00	20046	14299
DCv2	PI407303	PI407191	5299	1.836200e+00	20046	14747
DCv2	PI407303	PI407795B	11096	1.005289e+00	20046	8950
DCv2	PI407303	PI407915	11559	9.349393e-01	20046	8487
DCv2	PI407303	PI407916	10934	1.010910e+00	20046	9112
DCv2	PI407303	PI407999-1	8700	1.368938e+00	20046	11346
DCv2	PI407303	PI408095A	11690	9.474092e-01	20046	8356
DCv2	PI407303	PI408304	10913	9.797821e-01	20046	9133
DCv2	PI407303	PI415072	12368	1.088155e+00	20046	7678
DCv2	PI407303	PI417072	10924	9.902894e-01	20046	9122
DCv2	PI407303	PI417115	11048	1.064114e+00	20046	8998
DCv2	PI407303	PI417128	10702	1.031645e+00	20046	9344
DCv2	PI407303	PI417286	10859	9.747095e-01	20046	9187
DCv2	PI407303	PI417472C	10742	1.030679e+00	20046	9304
DCv2	PI407303	PI417502	10897	1.147390e+00	20046	9149
DCv2	PI407303	PI423842	10992	9.927493e-01	20046	9054
DCv2	PI407303	PI423982	11089	9.929112e-01	20046	8957
DCv2	PI407303	PI423992	5164	1.911921e+00	20046	14882
DCv2	PI407303	PI424028	4907	1.735103e+00	20046	15139
DCv2	PI407303	PI424248	11113	9.446632e-01	20046	8933
DCv2	PI407303	PI424249E	11532	9.073075e-01	20046	8514
DCv2	PI407303	PI424324B	11349	9.935034e-01	20046	8697
DCv2	PI407303	PI424376	11541	8.867212e-01	20046	8505
DCv2	PI407303	PI424443	11863	8.912488e-01	20046	8183
DCv2	PI407303	PI434975	10749	1.147915e+00	20046	9297
DCv2	PI407303	PI437079A	9951	1.259929e+00	20046	10095
DCv2	PI407303	PI437150	11112	1.309840e+00	20046	8934
DCv2	PI407303	PI437299	10161	1.165422e+00	20046	9885
DCv2	PI407303	PI437341	14506	1.181092e+00	20046	5540
DCv2	PI407303	PI437378C	11344	1.027052e+00	20046	8702
DCv2	PI407303	PI437441	11750	1.115379e+00	20046	8296
DCv2	PI407303	PI437615A	11184	1.127694e+00	20046	8862
DCv2	PI407303	PI437673	11965	1.026346e+00	20046	8081
DCv2	PI407303	PI437690	8207	1.639822e+00	20046	11839
DCv2	PI407303	PI437721A	10760	1.131567e+00	20046	9286
DCv2	PI407303	PI437863B	12370	1.137845e+00	20046	7676
DCv2	PI407303	PI437892	11330	9.964321e-01	20046	8716
DCv2	PI407303	PI438015	11288	1.059106e+00	20046	8758
DCv2	PI407303	PI438037	11255	1.012387e+00	20046	8791
DCv2	PI407303	PI438058	11968	1.117987e+00	20046	8078
DCv2	PI407303	PI438177	12166	1.237190e+00	20046	7880
DCv2	PI407303	PI438250A	9956	1.349630e+00	20046	10090
