# This file was produced by bcftools (1.23.1+htslib-1.23.1), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t --keep-refs -o updated_gtcheck_fixploidy/PI507847.soy50k.fixploidy.gtcheck.tsv -g panel/soy50k.biallelic.snps.vcf.gz updated_fixploidy/PI507847.soy50k.fixploidy.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf/05c_vcfs_soy50k
#
INFO	Time required to process one record .. 0.000386 seconds
INFO	sites-compared	41374
INFO	sites-skipped-no-match	20329
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	0
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	41374
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	PI507847	PI86046	15236	1.168332e+00	40604	25368
DCv2	PI507847	PI90208	17813	6.424286e-01	40604	22791
DCv2	PI507847	PI219698	16192	1.014226e+00	40604	24412
DCv2	PI507847	PI253651A	17169	8.391613e-01	40604	23435
DCv2	PI507847	PI347550A	18186	7.930686e-01	40604	22418
DCv2	PI507847	PI398807	17825	6.439317e-01	40604	22779
DCv2	PI507847	PI408055A	17946	6.374005e-01	40604	22658
DCv2	PI507847	PI408069	17801	6.372462e-01	40604	22803
DCv2	PI507847	PI408169A	17422	7.080734e-01	40604	23182
DCv2	PI507847	PI408169B	17495	6.920070e-01	40604	23109
DCv2	PI507847	PI416923	17517	6.578317e-01	40604	23087
DCv2	PI507847	PI417472A	17428	6.921984e-01	40604	23176
DCv2	PI507847	PI417508	18100	8.559826e-01	40604	22504
DCv2	PI507847	PI417521	18508	7.537710e-01	40604	22096
DCv2	PI507847	PI423734	17987	6.286721e-01	40604	22617
DCv2	PI507847	PI423923	17453	6.847666e-01	40604	23151
DCv2	PI507847	PI424145	17624	6.581107e-01	40604	22980
DCv2	PI507847	PI424159A	17856	6.608041e-01	40604	22748
DCv2	PI507847	PI424241	17909	6.236057e-01	40604	22695
DCv2	PI507847	PI424485	17953	6.349316e-01	40604	22651
DCv2	PI507847	PI424549B	17488	6.683009e-01	40604	23116
DCv2	PI507847	PI437196	18341	6.764159e-01	40604	22263
DCv2	PI507847	PI437199	17372	9.615604e-01	40604	23232
DCv2	PI507847	PI437619	18392	6.975516e-01	40604	22212
DCv2	PI507847	PI437633A	17863	8.818463e-01	40604	22741
DCv2	PI507847	PI437649B	18077	7.783421e-01	40604	22527
DCv2	PI507847	PI437749	17705	7.454269e-01	40604	22899
DCv2	PI507847	PI437833	18082	6.685646e-01	40604	22522
DCv2	PI507847	PI437841	18017	7.083085e-01	40604	22587
DCv2	PI507847	PI438229	18042	7.388978e-01	40604	22562
DCv2	PI507847	PI438249B	16630	9.793496e-01	40604	23974
DCv2	PI507847	PI438250B	15930	9.400088e-01	40604	24674
DCv2	PI507847	PI438251	18121	8.790917e-01	40604	22483
DCv2	PI507847	PI438252A	17777	7.312977e-01	40604	22827
