# This file was produced by bcftools (1.21+htslib-1.21), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t -o 05c_vcfs_soy50k/Pekingv3.soy50k.filtered.gtcheck.tsv -g 05c_vcfs_soy50k/panel/soy50k.biallelic.snps.vcf.gz 05c_vcfs_soy50k/Pekingv3.soy50k.filtered.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf
#
INFO	Time required to process one record .. 0.000197 seconds
INFO	sites-compared	19429
INFO	sites-skipped-no-match	43516
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	187
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	19429
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Pekingv3	PI86046	7161	1.670417e+00	19429	12268
DCv2	Pekingv3	PI90208	11313	9.077769e-01	19429	8116
DCv2	Pekingv3	PI219698	7473	1.465123e+00	19429	11956
DCv2	Pekingv3	PI253651A	9097	1.326733e+00	19429	10332
DCv2	Pekingv3	PI347550A	10061	1.247620e+00	19429	9368
DCv2	Pekingv3	PI398807	11870	8.709378e-01	19429	7559
DCv2	Pekingv3	PI408055A	11458	8.897442e-01	19429	7971
DCv2	Pekingv3	PI408069	11420	8.780976e-01	19429	8009
DCv2	Pekingv3	PI408169A	11171	9.761587e-01	19429	8258
DCv2	Pekingv3	PI408169B	10868	9.897047e-01	19429	8561
DCv2	Pekingv3	PI416923	11036	9.086605e-01	19429	8393
DCv2	Pekingv3	PI417472A	11227	9.305288e-01	19429	8202
DCv2	Pekingv3	PI417508	8948	1.360420e+00	19429	10481
DCv2	Pekingv3	PI417521	10718	1.210088e+00	19429	8711
DCv2	Pekingv3	PI423734	11239	8.961386e-01	19429	8190
DCv2	Pekingv3	PI423923	11359	9.094505e-01	19429	8070
DCv2	Pekingv3	PI424145	11482	8.643260e-01	19429	7947
DCv2	Pekingv3	PI424159A	11631	9.151254e-01	19429	7798
DCv2	Pekingv3	PI424241	11235	8.553676e-01	19429	8194
DCv2	Pekingv3	PI424485	11355	8.883698e-01	19429	8074
DCv2	Pekingv3	PI424549B	11393	8.957416e-01	19429	8036
DCv2	Pekingv3	PI437196	10684	1.057113e+00	19429	8745
DCv2	Pekingv3	PI437199	7817	1.532453e+00	19429	11612
DCv2	Pekingv3	PI437619	11384	1.051368e+00	19429	8045
DCv2	Pekingv3	PI437633A	8163	1.427562e+00	19429	11266
DCv2	Pekingv3	PI437649B	9783	1.299728e+00	19429	9646
DCv2	Pekingv3	PI437749	10065	1.137599e+00	19429	9364
DCv2	Pekingv3	PI437833	11261	9.713187e-01	19429	8168
DCv2	Pekingv3	PI437841	11358	1.008371e+00	19429	8071
DCv2	Pekingv3	PI438229	11444	1.074533e+00	19429	7985
DCv2	Pekingv3	PI438249B	8564	1.456257e+00	19429	10865
DCv2	Pekingv3	PI438250B	8664	1.350440e+00	19429	10765
DCv2	Pekingv3	PI438251	10194	1.389272e+00	19429	9235
DCv2	Pekingv3	PI438252A	11062	1.078600e+00	19429	8367
DCv2	Pekingv3	PI438252C	10693	1.178840e+00	19429	8736
DCv2	Pekingv3	PI438313	7551	1.547410e+00	19429	11878
DCv2	Pekingv3	PI445825	10188	1.234942e+00	19429	9241
DCv2	Pekingv3	PI458139	11752	8.879593e-01	19429	7677
DCv2	Pekingv3	PI458181	11417	8.545860e-01	19429	8012
DCv2	Pekingv3	PI506560	11222	8.811872e-01	19429	8207
DCv2	Pekingv3	PI506574	10887	9.505617e-01	19429	8542
DCv2	Pekingv3	PI506575A	11258	8.849194e-01	19429	8171
DCv2	Pekingv3	PI506711B	11020	9.437233e-01	19429	8409
DCv2	Pekingv3	PI506847	11059	8.985361e-01	19429	8370
DCv2	Pekingv3	PI506992	11278	8.861455e-01	19429	8151
DCv2	Pekingv3	PI507344	11370	8.930701e-01	19429	8059
DCv2	Pekingv3	PI507368	11421	9.539144e-01	19429	8008
DCv2	Pekingv3	PI507541	11018	9.346085e-01	19429	8411
DCv2	Pekingv3	PI509111	11217	8.922490e-01	19429	8212
DCv2	Pekingv3	PI548449	10466	1.075574e+00	19429	8963
DCv2	Pekingv3	PI549076A	11353	1.083536e+00	19429	8076
DCv2	Pekingv3	PI561348	11188	9.005123e-01	19429	8241
DCv2	Pekingv3	PI567433A	8276	1.495313e+00	19429	11153
DCv2	Pekingv3	PI567451	6330	1.595998e+00	19429	13099
DCv2	Pekingv3	PI567453	7976	1.512611e+00	19429	11453
DCv2	Pekingv3	PI567518	6954	1.678707e+00	19429	12475
DCv2	Pekingv3	PI567603A	8900	1.358391e+00	19429	10529
DCv2	Pekingv3	PI567679C	8085	1.438895e+00	19429	11344
DCv2	Pekingv3	PI567767C	8011	1.482267e+00	19429	11418
DCv2	Pekingv3	PI578386	10762	1.168433e+00	19429	8667
DCv2	Pekingv3	PI578485A	11293	1.074229e+00	19429	8136
DCv2	Pekingv3	PI587583B	9816	1.137268e+00	19429	9613
DCv2	Pekingv3	PI592948	9069	1.400760e+00	19429	10360
DCv2	Pekingv3	PI594245B	11251	8.955579e-01	19429	8178
DCv2	Pekingv3	PI594401B	9668	1.232438e+00	19429	9761
DCv2	Pekingv3	PI594461A	10250	1.135777e+00	19429	9179
DCv2	Pekingv3	PI594476	10452	1.119784e+00	19429	8977
DCv2	Pekingv3	PI594714	9769	1.217447e+00	19429	9660
DCv2	Pekingv3	PI594817	10746	9.862831e-01	19429	8683
DCv2	Pekingv3	PI594818	10556	9.994696e-01	19429	8873
DCv2	Pekingv3	PI594871	10476	1.140272e+00	19429	8953
DCv2	Pekingv3	PI605782B	10128	1.157008e+00	19429	9301
DCv2	Pekingv3	PI605796	10358	1.114660e+00	19429	9071
DCv2	Pekingv3	PI605844E	10542	1.082408e+00	19429	8887
DCv2	Pekingv3	PI605885C	10516	1.109905e+00	19429	8913
DCv2	Pekingv3	PI605886B	10138	1.142896e+00	19429	9291
DCv2	Pekingv3	PI606393	10363	1.114785e+00	19429	9066
DCv2	Pekingv3	PI606430	10234	1.125180e+00	19429	9195
DCv2	Pekingv3	PI612713B	10832	1.150304e+00	19429	8597
DCv2	Pekingv3	PI612726	10336	1.166873e+00	19429	9093
DCv2	Pekingv3	PI612742	10802	1.107910e+00	19429	8627
DCv2	Pekingv3	PI613559F	11117	1.051482e+00	19429	8312
DCv2	Pekingv3	PI615467	9253	1.207798e+00	19429	10176
DCv2	Pekingv3	PI615472	10390	1.167006e+00	19429	9039
DCv2	Pekingv3	PI615481	10405	1.117673e+00	19429	9024
DCv2	Pekingv3	PI632667	9863	1.143235e+00	19429	9566
DCv2	Pekingv3	PI632944D	9397	1.196715e+00	19429	10032
DCv2	Pekingv3	PI639528C	9625	1.311143e+00	19429	9804
DCv2	Pekingv3	PI639546A	10977	1.231344e+00	19429	8452
DCv2	Pekingv3	PI639558	7706	1.658816e+00	19429	11723
DCv2	Pekingv3	PI639560B	11512	1.120760e+00	19429	7917
DCv2	Pekingv3	PI639607	7826	1.621482e+00	19429	11603
DCv2	Pekingv3	FC31676	10643	1.077216e+00	19429	8786
DCv2	Pekingv3	PI69991	10072	1.384178e+00	19429	9357
DCv2	Pekingv3	PI81023	8470	1.279761e+00	19429	10959
DCv2	Pekingv3	PI84632S	10770	1.229521e+00	19429	8659
DCv2	Pekingv3	PI85559	11682	8.922371e-01	19429	7747
DCv2	Pekingv3	PI86002	7156	1.671307e+00	19429	12273
