# This file was produced by bcftools (1.23.1+htslib-1.23.1), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t --keep-refs -o updated_gtcheck_fixploidy/Pekingv3.soy50k.fixploidy.gtcheck.tsv -g panel/soy50k.biallelic.snps.vcf.gz updated_fixploidy/Pekingv3.soy50k.fixploidy.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf/05c_vcfs_soy50k
#
INFO	Time required to process one record .. 0.000420 seconds
INFO	sites-compared	41374
INFO	sites-skipped-no-match	21758
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	0
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	41374
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Pekingv3	PI86046	13782	1.153089e+00	40664	26882
DCv2	Pekingv3	PI90208	18018	6.044791e-01	40664	22646
DCv2	Pekingv3	PI219698	15771	9.824758e-01	40664	24893
DCv2	Pekingv3	PI253651A	14826	8.940698e-01	40664	25838
DCv2	Pekingv3	PI347550A	17242	7.983634e-01	40664	23422
DCv2	Pekingv3	PI398807	18502	5.848933e-01	40664	22162
DCv2	Pekingv3	PI408055A	18108	6.004492e-01	40664	22556
DCv2	Pekingv3	PI408069	18385	5.844290e-01	40664	22279
DCv2	Pekingv3	PI408169A	18080	6.483757e-01	40664	22584
DCv2	Pekingv3	PI408169B	17289	6.648015e-01	40664	23375
DCv2	Pekingv3	PI416923	18397	5.903319e-01	40664	22267
DCv2	Pekingv3	PI417472A	18443	6.178933e-01	40664	22221
DCv2	Pekingv3	PI417508	16372	8.935549e-01	40664	24292
DCv2	Pekingv3	PI417521	16616	7.960091e-01	40664	24048
DCv2	Pekingv3	PI423734	18239	5.897681e-01	40664	22425
DCv2	Pekingv3	PI423923	18538	6.026551e-01	40664	22126
DCv2	Pekingv3	PI424145	18942	5.726391e-01	40664	21722
DCv2	Pekingv3	PI424159A	17872	6.300962e-01	40664	22792
DCv2	Pekingv3	PI424241	18151	5.802609e-01	40664	22513
DCv2	Pekingv3	PI424485	18078	5.984587e-01	40664	22586
DCv2	Pekingv3	PI424549B	18274	6.036419e-01	40664	22390
DCv2	Pekingv3	PI437196	17599	6.780339e-01	40664	23065
DCv2	Pekingv3	PI437199	13541	1.046098e+00	40664	27123
DCv2	Pekingv3	PI437619	17632	7.059919e-01	40664	23032
DCv2	Pekingv3	PI437633A	15440	9.465122e-01	40664	25224
DCv2	Pekingv3	PI437649B	15604	8.537479e-01	40664	25060
DCv2	Pekingv3	PI437749	15995	7.798109e-01	40664	24669
DCv2	Pekingv3	PI437833	17933	6.454086e-01	40664	22731
DCv2	Pekingv3	PI437841	17852	6.820671e-01	40664	22812
DCv2	Pekingv3	PI438229	17386	7.367489e-01	40664	23278
DCv2	Pekingv3	PI438249B	14454	9.970316e-01	40664	26210
DCv2	Pekingv3	PI438250B	14786	9.212886e-01	40664	25878
DCv2	Pekingv3	PI438251	15034	9.575634e-01	40664	25630
DCv2	Pekingv3	PI438252A	17785	7.033046e-01	40664	22879
DCv2	Pekingv3	PI438252C	17342	7.639043e-01	40664	23322
DCv2	Pekingv3	PI438313	14054	1.036589e+00	40664	26610
DCv2	Pekingv3	PI445825	16388	8.162589e-01	40664	24276
DCv2	Pekingv3	PI458139	18452	5.912505e-01	40664	22212
DCv2	Pekingv3	PI458181	18265	5.794266e-01	40664	22399
DCv2	Pekingv3	PI506560	18830	5.854981e-01	40664	21834
DCv2	Pekingv3	PI506574	18079	6.325584e-01	40664	22585
DCv2	Pekingv3	PI506575A	18775	5.796057e-01	40664	21889
DCv2	Pekingv3	PI506711B	18328	6.242745e-01	40664	22336
DCv2	Pekingv3	PI506847	18400	5.986121e-01	40664	22264
DCv2	Pekingv3	PI506992	18722	5.863670e-01	40664	21942
DCv2	Pekingv3	PI507344	18756	5.855857e-01	40664	21908
DCv2	Pekingv3	PI507368	18274	6.368328e-01	40664	22390
DCv2	Pekingv3	PI507541	18278	6.166960e-01	40664	22386
DCv2	Pekingv3	PI509111	17779	6.003148e-01	40664	22885
DCv2	Pekingv3	PI548449	17347	7.174606e-01	40664	23317
DCv2	Pekingv3	PI549076A	17185	7.369901e-01	40664	23479
DCv2	Pekingv3	PI561348	18751	5.944533e-01	40664	21913
DCv2	Pekingv3	PI567433A	13582	1.012201e+00	40664	27082
DCv2	Pekingv3	PI567451	13499	1.080147e+00	40664	27165
DCv2	Pekingv3	PI567453	13287	1.016034e+00	40664	27377
DCv2	Pekingv3	PI567518	11214	1.148288e+00	40664	29450
DCv2	Pekingv3	PI567603A	14867	8.840827e-01	40664	25797
DCv2	Pekingv3	PI567679C	13251	9.755775e-01	40664	27413
DCv2	Pekingv3	PI567767C	13583	9.900222e-01	40664	27081
DCv2	Pekingv3	PI578386	16744	7.711308e-01	40664	23920
DCv2	Pekingv3	PI578485A	17511	7.461369e-01	40664	23153
DCv2	Pekingv3	PI587583B	15958	7.702968e-01	40664	24706
DCv2	Pekingv3	PI592948	14882	9.277821e-01	40664	25782
DCv2	Pekingv3	PI594245B	18799	5.928325e-01	40664	21865
DCv2	Pekingv3	PI594401B	15367	8.433167e-01	40664	25297
DCv2	Pekingv3	PI594461A	16709	7.618832e-01	40664	23955
DCv2	Pekingv3	PI594476	16649	7.596055e-01	40664	24015
DCv2	Pekingv3	PI594714	15565	8.227235e-01	40664	25099
DCv2	Pekingv3	PI594817	16924	6.882164e-01	40664	23740
DCv2	Pekingv3	PI594818	16859	6.930862e-01	40664	23805
DCv2	Pekingv3	PI594871	16643	7.701658e-01	40664	24021
DCv2	Pekingv3	PI605782B	16185	7.841709e-01	40664	24479
DCv2	Pekingv3	PI605796	16473	7.547393e-01	40664	24191
DCv2	Pekingv3	PI605844E	16791	7.334492e-01	40664	23873
DCv2	Pekingv3	PI605885C	16484	7.526663e-01	40664	24180
DCv2	Pekingv3	PI605886B	16005	7.755114e-01	40664	24659
DCv2	Pekingv3	PI606393	16481	7.545240e-01	40664	24183
DCv2	Pekingv3	PI606430	16347	7.610130e-01	40664	24317
DCv2	Pekingv3	PI612713B	16444	7.776291e-01	40664	24220
DCv2	Pekingv3	PI612726	16207	7.831965e-01	40664	24457
DCv2	Pekingv3	PI612742	17046	7.419775e-01	40664	23618
DCv2	Pekingv3	PI613559F	17905	6.894351e-01	40664	22759
DCv2	Pekingv3	PI615467	16484	7.805893e-01	40664	24180
DCv2	Pekingv3	PI615472	16517	7.833702e-01	40664	24147
DCv2	Pekingv3	PI615481	16429	7.610177e-01	40664	24235
DCv2	Pekingv3	PI632667	15841	7.797993e-01	40664	24823
DCv2	Pekingv3	PI632944D	15625	8.126533e-01	40664	25039
DCv2	Pekingv3	PI639528C	15455	8.643139e-01	40664	25209
DCv2	Pekingv3	PI639546A	17167	7.882986e-01	40664	23497
DCv2	Pekingv3	PI639558	13682	1.135232e+00	40664	26982
DCv2	Pekingv3	PI639560B	17765	7.231985e-01	40664	22899
DCv2	Pekingv3	PI639607	17562	1.186138e+00	40664	23102
DCv2	Pekingv3	FC31676	17291	7.121967e-01	40664	23373
DCv2	Pekingv3	PI69991	14857	9.700529e-01	40664	25807
DCv2	Pekingv3	PI81023	16591	8.302616e-01	40664	24073
DCv2	Pekingv3	PI84632S	16109	8.370135e-01	40664	24555
DCv2	Pekingv3	PI85559	18005	6.153914e-01	40664	22659
DCv2	Pekingv3	PI86002	13787	1.153995e+00	40664	26877
DCv2	Pekingv3	PI86024	17823	6.396754e-01	40664	22841
DCv2	Pekingv3	PI88312	16343	8.333132e-01	40664	24321
DCv2	Pekingv3	PI91091	17946	7.015804e-01	40664	22718
DCv2	Pekingv3	PI93217	17893	6.771128e-01	40664	22771
DCv2	Pekingv3	PI157401	17431	8.136436e-01	40664	23233
DCv2	Pekingv3	PI174852	15490	9.138324e-01	40664	25174
DCv2	Pekingv3	PI184047	14158	1.022889e+00	40664	26506
DCv2	Pekingv3	PI189941	15778	8.720270e-01	40664	24886
DCv2	Pekingv3	PI196168	18576	5.958855e-01	40664	22088
DCv2	Pekingv3	PI200462	18422	6.134818e-01	40664	22242
DCv2	Pekingv3	PI229339	18579	6.044290e-01	40664	22085
DCv2	Pekingv3	PI238108	17851	8.086002e-01	40664	22813
DCv2	Pekingv3	PI241424	18424	6.667984e-01	40664	22240
DCv2	Pekingv3	PI248404	18130	6.341184e-01	40664	22534
DCv2	Pekingv3	PI274207	18530	5.853874e-01	40664	22134
DCv2	Pekingv3	PI274582	16154	8.319469e-01	40664	24510
DCv2	Pekingv3	PI306704B	16424	7.896795e-01	40664	24240
DCv2	Pekingv3	PI307854	14278	1.047688e+00	40664	26386
DCv2	Pekingv3	PI307865	13146	1.150177e+00	40664	27518
DCv2	Pekingv3	PI307876A	16080	7.948885e-01	40664	24584
DCv2	Pekingv3	PI307888B	14169	1.052140e+00	40664	26495
DCv2	Pekingv3	PI307889C	15710	8.793030e-01	40664	24954
DCv2	Pekingv3	PI317337	18041	6.296727e-01	40664	22623
DCv2	Pekingv3	PI323560	15666	9.272742e-01	40664	24998
DCv2	Pekingv3	PI355070S	18576	6.531316e-01	40664	22088
DCv2	Pekingv3	PI361071B	16657	7.756525e-01	40664	24007
DCv2	Pekingv3	PI361116	17640	7.250864e-01	40664	23024
DCv2	Pekingv3	PI378687B	17440	1.030227e+00	40664	23224
DCv2	Pekingv3	PI398202	18138	6.197005e-01	40664	22526
DCv2	Pekingv3	PI398307	17796	6.451878e-01	40664	22868
DCv2	Pekingv3	PI398399	18631	5.879065e-01	40664	22033
DCv2	Pekingv3	PI398634	17500	6.621911e-01	40664	23164
DCv2	Pekingv3	PI398723	17330	8.515383e-01	40664	23334
DCv2	Pekingv3	PI398772	18726	5.511319e-01	40664	21938
DCv2	Pekingv3	PI398985	17959	6.238720e-01	40664	22705
DCv2	Pekingv3	PI399122	17936	6.515193e-01	40664	22728
DCv2	Pekingv3	PI407099	17692	1.025196e+00	40664	22972
DCv2	Pekingv3	PI407186	17445	1.103190e+00	40664	23219
DCv2	Pekingv3	PI407191	17405	1.107357e+00	40664	23259
DCv2	Pekingv3	PI407795B	17487	6.656406e-01	40664	23177
DCv2	Pekingv3	PI407915	18077	6.121259e-01	40664	22587
DCv2	Pekingv3	PI407916	17601	6.594989e-01	40664	23063
DCv2	Pekingv3	PI407999-1	17421	8.986770e-01	40664	23243
DCv2	Pekingv3	PI408095A	18024	6.323449e-01	40664	22640
DCv2	Pekingv3	PI408304	17848	6.399016e-01	40664	22816
DCv2	Pekingv3	PI415072	16928	8.140582e-01	40664	23736
DCv2	Pekingv3	PI417072	18729	5.990869e-01	40664	21935
DCv2	Pekingv3	PI417115	16578	7.420229e-01	40664	24086
DCv2	Pekingv3	PI417128	18316	6.247505e-01	40664	22348
DCv2	Pekingv3	PI417286	18232	6.085379e-01	40664	22432
DCv2	Pekingv3	PI417472C	17957	6.420514e-01	40664	22707
DCv2	Pekingv3	PI417502	15407	8.515862e-01	40664	25257
