# This file was produced by bcftools (1.21+htslib-1.21), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t -o 05c_vcfs_soy50k/Wm82a6.soy50k.filtered.gtcheck.tsv -g 05c_vcfs_soy50k/panel/soy50k.biallelic.snps.vcf.gz 05c_vcfs_soy50k/Wm82a6.soy50k.filtered.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf
#
INFO	sites-compared	0
INFO	sites-skipped-no-match	82748
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	0
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	0
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Wm82a6	PI86046	0	0.000000e+00	0	0
DCv2	Wm82a6	PI90208	0	0.000000e+00	0	0
DCv2	Wm82a6	PI219698	0	0.000000e+00	0	0
DCv2	Wm82a6	PI253651A	0	0.000000e+00	0	0
DCv2	Wm82a6	PI347550A	0	0.000000e+00	0	0
DCv2	Wm82a6	PI398807	0	0.000000e+00	0	0
DCv2	Wm82a6	PI408055A	0	0.000000e+00	0	0
DCv2	Wm82a6	PI408069	0	0.000000e+00	0	0
DCv2	Wm82a6	PI408169A	0	0.000000e+00	0	0
DCv2	Wm82a6	PI408169B	0	0.000000e+00	0	0
DCv2	Wm82a6	PI416923	0	0.000000e+00	0	0
DCv2	Wm82a6	PI417472A	0	0.000000e+00	0	0
DCv2	Wm82a6	PI417508	0	0.000000e+00	0	0
DCv2	Wm82a6	PI417521	0	0.000000e+00	0	0
DCv2	Wm82a6	PI423734	0	0.000000e+00	0	0
DCv2	Wm82a6	PI423923	0	0.000000e+00	0	0
DCv2	Wm82a6	PI424145	0	0.000000e+00	0	0
DCv2	Wm82a6	PI424159A	0	0.000000e+00	0	0
DCv2	Wm82a6	PI424241	0	0.000000e+00	0	0
DCv2	Wm82a6	PI424485	0	0.000000e+00	0	0
DCv2	Wm82a6	PI424549B	0	0.000000e+00	0	0
DCv2	Wm82a6	PI437196	0	0.000000e+00	0	0
DCv2	Wm82a6	PI437199	0	0.000000e+00	0	0
DCv2	Wm82a6	PI437619	0	0.000000e+00	0	0
DCv2	Wm82a6	PI437633A	0	0.000000e+00	0	0
DCv2	Wm82a6	PI437649B	0	0.000000e+00	0	0
