# This file was produced by bcftools (1.23.1+htslib-1.23.1), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t --keep-refs -o updated_gtcheck_fixploidy/Wm82a6.soy50k.fixploidy.gtcheck.tsv -g panel/soy50k.biallelic.snps.vcf.gz updated_fixploidy/Wm82a6.soy50k.fixploidy.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf/05c_vcfs_soy50k
#
INFO	Time required to process one record .. 0.000437 seconds
INFO	sites-compared	41374
INFO	sites-skipped-no-match	41374
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	0
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	41374
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Wm82a6	PI86046	19236	8.885440e-01	41374	22138
DCv2	Wm82a6	PI90208	15072	6.135631e-01	41374	26302
DCv2	Wm82a6	PI219698	20585	6.685890e-01	41374	20789
DCv2	Wm82a6	PI253651A	16348	7.244392e-01	41374	25026
DCv2	Wm82a6	PI347550A	16851	6.826260e-01	41374	24523
DCv2	Wm82a6	PI398807	14424	6.413496e-01	41374	26950
DCv2	Wm82a6	PI408055A	14865	6.189247e-01	41374	26509
DCv2	Wm82a6	PI408069	15228	6.020216e-01	41374	26146
DCv2	Wm82a6	PI408169A	15421	6.454519e-01	41374	25953
DCv2	Wm82a6	PI408169B	15241	6.386070e-01	41374	26133
DCv2	Wm82a6	PI416923	16024	5.818965e-01	41374	25350
DCv2	Wm82a6	PI417472A	15669	6.225794e-01	41374	25705
DCv2	Wm82a6	PI417508	18216	6.966631e-01	41374	23158
DCv2	Wm82a6	PI417521	14863	7.398502e-01	41374	26511
DCv2	Wm82a6	PI423734	15456	5.924081e-01	41374	25918
DCv2	Wm82a6	PI423923	15519	6.282073e-01	41374	25855
DCv2	Wm82a6	PI424145	15653	6.027919e-01	41374	25721
DCv2	Wm82a6	PI424159A	14271	6.650110e-01	41374	27103
DCv2	Wm82a6	PI424241	15356	5.869340e-01	41374	26018
DCv2	Wm82a6	PI424485	15049	6.083716e-01	41374	26325
DCv2	Wm82a6	PI424549B	15177	6.212059e-01	41374	26197
DCv2	Wm82a6	PI437196	15902	6.315054e-01	41374	25472
DCv2	Wm82a6	PI437199	17654	8.020905e-01	41374	23720
DCv2	Wm82a6	PI437619	14538	7.028469e-01	41374	26836
DCv2	Wm82a6	PI437633A	18876	6.964256e-01	41374	22498
DCv2	Wm82a6	PI437649B	15746	7.262060e-01	41374	25628
DCv2	Wm82a6	PI437749	15551	6.835751e-01	41374	25823
DCv2	Wm82a6	PI437833	15088	6.439677e-01	41374	26286
DCv2	Wm82a6	PI437841	14809	6.888141e-01	41374	26565
DCv2	Wm82a6	PI438229	14165	7.470973e-01	41374	27209
DCv2	Wm82a6	PI438249B	17063	8.123396e-01	41374	24311
DCv2	Wm82a6	PI438250B	17207	7.399846e-01	41374	24167
DCv2	Wm82a6	PI438251	14320	8.760229e-01	41374	27054
DCv2	Wm82a6	PI438252A	15331	6.799976e-01	41374	26043
DCv2	Wm82a6	PI438252C	15646	7.009657e-01	41374	25728
DCv2	Wm82a6	PI438313	18712	7.619119e-01	41374	22662
DCv2	Wm82a6	PI445825	15728	7.226376e-01	41374	25646
DCv2	Wm82a6	PI458139	14615	6.370270e-01	41374	26759
DCv2	Wm82a6	PI458181	15114	6.018845e-01	41374	26260
DCv2	Wm82a6	PI506560	16073	5.935146e-01	41374	25301
DCv2	Wm82a6	PI506574	15997	6.103545e-01	41374	25377
DCv2	Wm82a6	PI506575A	15947	5.879581e-01	41374	25427
DCv2	Wm82a6	PI506711B	15974	6.170599e-01	41374	25400
DCv2	Wm82a6	PI506847	15974	5.942400e-01	41374	25400
DCv2	Wm82a6	PI506992	15849	6.001086e-01	41374	25525
DCv2	Wm82a6	PI507344	15690	6.072892e-01	41374	25684
DCv2	Wm82a6	PI507368	15096	6.581160e-01	41374	26278
DCv2	Wm82a6	PI507541	15925	6.088435e-01	41374	25449
DCv2	Wm82a6	PI509111	15032	6.020274e-01	41374	26342
DCv2	Wm82a6	PI548449	16123	6.548902e-01	41374	25251
DCv2	Wm82a6	PI549076A	14123	7.358101e-01	41374	27251
DCv2	Wm82a6	PI561348	16063	5.968252e-01	41374	25311
DCv2	Wm82a6	PI567433A	16765	7.727790e-01	41374	24609
DCv2	Wm82a6	PI567451	20641	7.044215e-01	41374	20733
DCv2	Wm82a6	PI567453	17082	7.811664e-01	41374	24292
DCv2	Wm82a6	PI567518	17036	8.739361e-01	41374	24338
DCv2	Wm82a6	PI567603A	16796	6.949812e-01	41374	24578
DCv2	Wm82a6	PI567679C	16810	7.583371e-01	41374	24564
DCv2	Wm82a6	PI567767C	17293	7.559813e-01	41374	24081
DCv2	Wm82a6	PI578386	14894	7.251883e-01	41374	26480
DCv2	Wm82a6	PI578485A	14597	7.485734e-01	41374	26777
DCv2	Wm82a6	PI587583B	16028	6.651850e-01	41374	25346
DCv2	Wm82a6	PI592948	16457	7.565695e-01	41374	24917
DCv2	Wm82a6	PI594245B	15983	6.001043e-01	41374	25391
DCv2	Wm82a6	PI594401B	15724	7.364075e-01	41374	25650
DCv2	Wm82a6	PI594461A	15915	6.769934e-01	41374	25459
DCv2	Wm82a6	PI594476	15438	6.884215e-01	41374	25936
DCv2	Wm82a6	PI594714	15713	7.123872e-01	41374	25661
DCv2	Wm82a6	PI594817	15113	6.458024e-01	41374	26261
DCv2	Wm82a6	PI594818	15431	6.362213e-01	41374	25943
DCv2	Wm82a6	PI594871	15380	7.136264e-01	41374	25994
DCv2	Wm82a6	PI605782B	15632	6.911312e-01	41374	25742
DCv2	Wm82a6	PI605796	15425	6.859268e-01	41374	25949
DCv2	Wm82a6	PI605844E	15391	6.747213e-01	41374	25983
DCv2	Wm82a6	PI605885C	15146	6.907357e-01	41374	26228
DCv2	Wm82a6	PI605886B	15400	6.847326e-01	41374	25974
DCv2	Wm82a6	PI606393	15422	6.863279e-01	41374	25952
