# This file was produced by bcftools (1.21+htslib-1.21), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t -o 05c_vcfs_soy50k/Wm82v4.soy50k.filtered.gtcheck.tsv -g 05c_vcfs_soy50k/panel/soy50k.biallelic.snps.vcf.gz 05c_vcfs_soy50k/Wm82v4.soy50k.filtered.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf
#
INFO	Time required to process one record .. 0.000190 seconds
INFO	Time required to process one record .. 0.054095 seconds
INFO	Time required to process one record .. 0.054545 seconds
INFO	Time required to process one record .. 0.125364 seconds
INFO	Time required to process one record .. 0.162097 seconds
INFO	Time required to process one record .. 0.640640 seconds
INFO	Time required to process one record .. 0.651181 seconds
INFO	sites-compared	7
INFO	sites-skipped-no-match	82534
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	100
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	7
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Wm82v4	PI86046	5	2.916458e+00	7	2
DCv2	Wm82v4	PI90208	5	3.756723e-01	7	2
DCv2	Wm82v4	PI219698	5	3.756723e-01	7	2
DCv2	Wm82v4	PI253651A	5	3.756723e-01	7	2
DCv2	Wm82v4	PI347550A	6	2.902271e-01	7	1
DCv2	Wm82v4	PI398807	5	3.756723e-01	7	2
DCv2	Wm82v4	PI408055A	5	3.756723e-01	7	2
DCv2	Wm82v4	PI408069	5	3.756723e-01	7	2
DCv2	Wm82v4	PI408169A	5	3.756723e-01	7	2
DCv2	Wm82v4	PI408169B	5	3.756723e-01	7	2
DCv2	Wm82v4	PI416923	5	3.756723e-01	7	2
DCv2	Wm82v4	PI417472A	5	3.756723e-01	7	2
DCv2	Wm82v4	PI417508	6	2.902271e-01	7	1
DCv2	Wm82v4	PI417521	7	0.000000e+00	7	0
DCv2	Wm82v4	PI423734	5	3.756723e-01	7	2
DCv2	Wm82v4	PI423923	5	3.756723e-01	7	2
DCv2	Wm82v4	PI424145	5	3.756723e-01	7	2
DCv2	Wm82v4	PI424159A	6	4.611174e-01	7	1
DCv2	Wm82v4	PI424241	5	3.756723e-01	7	2
DCv2	Wm82v4	PI424485	5	3.756723e-01	7	2
DCv2	Wm82v4	PI424549B	5	3.756723e-01	7	2
DCv2	Wm82v4	PI437196	6	2.902271e-01	7	1
DCv2	Wm82v4	PI437199	4	2.098011e+00	7	3
DCv2	Wm82v4	PI437619	5	3.756723e-01	7	2
DCv2	Wm82v4	PI437633A	5	3.756723e-01	7	2
DCv2	Wm82v4	PI437649B	5	3.756723e-01	7	2
DCv2	Wm82v4	PI437749	5	3.756723e-01	7	2
DCv2	Wm82v4	PI437833	6	4.611174e-01	7	1
DCv2	Wm82v4	PI437841	6	2.902271e-01	7	1
DCv2	Wm82v4	PI438229	7	0.000000e+00	7	0
DCv2	Wm82v4	PI438249B	6	2.902271e-01	7	1
