# This file was produced by bcftools (1.23.1+htslib-1.23.1), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t --keep-refs -o updated_gtcheck_fixploidy/Wm82v4.soy50k.fixploidy.gtcheck.tsv -g panel/soy50k.biallelic.snps.vcf.gz updated_fixploidy/Wm82v4.soy50k.fixploidy.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf/05c_vcfs_soy50k
#
INFO	Time required to process one record .. 0.000406 seconds
INFO	sites-compared	41374
INFO	sites-skipped-no-match	41267
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	0
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	41374
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Wm82v4	PI86046	19178	8.883098e-01	41241	22063
DCv2	Wm82v4	PI90208	15023	6.137916e-01	41241	26218
DCv2	Wm82v4	PI219698	20509	6.693251e-01	41241	20732
DCv2	Wm82v4	PI253651A	16293	7.245516e-01	41241	24948
DCv2	Wm82v4	PI347550A	16801	6.822776e-01	41241	24440
DCv2	Wm82v4	PI398807	14379	6.412378e-01	41241	26862
DCv2	Wm82v4	PI408055A	14805	6.191853e-01	41241	26436
DCv2	Wm82v4	PI408069	15174	6.023107e-01	41241	26067
DCv2	Wm82v4	PI408169A	15360	6.458316e-01	41241	25881
DCv2	Wm82v4	PI408169B	15203	6.374549e-01	41241	26038
DCv2	Wm82v4	PI416923	15968	5.822645e-01	41241	25273
DCv2	Wm82v4	PI417472A	15605	6.230047e-01	41241	25636
DCv2	Wm82v4	PI417508	18162	6.958528e-01	41241	23079
DCv2	Wm82v4	PI417521	14808	7.399868e-01	41241	26433
DCv2	Wm82v4	PI423734	15401	5.926492e-01	41241	25840
DCv2	Wm82v4	PI423923	15466	6.280412e-01	41241	25775
DCv2	Wm82v4	PI424145	15602	6.027872e-01	41241	25639
DCv2	Wm82v4	PI424159A	14225	6.649853e-01	41241	27016
DCv2	Wm82v4	PI424241	15296	5.873726e-01	41241	25945
DCv2	Wm82v4	PI424485	14990	6.088792e-01	41241	26251
DCv2	Wm82v4	PI424549B	15120	6.217207e-01	41241	26121
DCv2	Wm82v4	PI437196	15855	6.313632e-01	41241	25386
DCv2	Wm82v4	PI437199	17585	8.024338e-01	41241	23656
DCv2	Wm82v4	PI437619	14485	7.033711e-01	41241	26756
DCv2	Wm82v4	PI437633A	18810	6.971141e-01	41241	22431
DCv2	Wm82v4	PI437649B	15691	7.263868e-01	41241	25550
DCv2	Wm82v4	PI437749	15489	6.842431e-01	41241	25752
DCv2	Wm82v4	PI437833	15033	6.441214e-01	41241	26208
DCv2	Wm82v4	PI437841	14767	6.887660e-01	41241	26474
DCv2	Wm82v4	PI438229	14121	7.460266e-01	41241	27120
DCv2	Wm82v4	PI438249B	17002	8.121718e-01	41241	24239
DCv2	Wm82v4	PI438250B	17157	7.399542e-01	41241	24084
