query_sample	query_sample_basename	panel_sample	genotyped_sample	PLANT NAME	TAXONOMY	ORIGIN	GRIN ID	GRIN LOOKUP STATUS	GRIN MATCH METHOD	rank	discordance	discordance_per_site	avg_neg_log_hwe	sites_compared	matching_genotypes	match_fraction	confidence_score	source_file
Benning	Benning	PI644044	PI 644044	G95-Ben2403	Glycine max (L.) Merr.	Georgia, United States	1714684	ok	accession	1	550	0.01336671	0.9830013	41147	40597	0.98663329	4.5526597	examples/results/Benning.soy50k.fixploidy.gtcheck.tsv
Benning	Benning	PI595645	PI 595645	Benning	Glycine max (L.) Merr.	Georgia, United States	1529214	ok	accession	2	568	0.013804166	0.9825146	41147	40579	0.98619583	4.5506411	examples/results/Benning.soy50k.fixploidy.gtcheck.tsv
Benning	Benning	PI644045	PI 644045	G95-Ben2448	Glycine max (L.) Merr.	Georgia, United States	1714685	ok	accession	3	570	0.013852772	0.9833441	41147	40577	0.98614723	4.5504168	examples/results/Benning.soy50k.fixploidy.gtcheck.tsv
Clark	Clark	PI424405B	PI 424405 B	KAS 530-16	Glycine max (L.) Merr.	Jeollabuk-do, Korea, South	1487021	ok	accession	1	165	0.0039934169	1.134793	41318	41153	0.99600658	4.5977051	examples/results/Clark.soy50k.fixploidy.gtcheck.tsv
Clark	Clark	PI424405A	PI 424405 A	KAS 530-16	Glycine max (L.) Merr.	Jeollabuk-do, Korea, South	1487020	ok	accession	2	170	0.0041144295	1.134347	41318	41148	0.99588557	4.5971465	examples/results/Clark.soy50k.fixploidy.gtcheck.tsv
Clark	Clark	PI547493	PI 547493	L67-3483	Glycine max (L.) Merr.	Illinois, United States	1442429	ok	accession	3	243	0.005881214	1.132064	41318	41075	0.99411879	4.5889908	examples/results/Clark.soy50k.fixploidy.gtcheck.tsv
Harosoy	Harosoy	PI548244	PI 548244	T267H	Glycine max (L.) Merr.	Illinois, United States	1443180	ok	accession	1	444	0.010779315	0.8989692	41190	40746	0.98922068	4.5650475	examples/results/Harosoy.soy50k.fixploidy.gtcheck.tsv
Harosoy	Harosoy	PI548573	PI 548573	Harosoy	Glycine max (L.) Merr.	Ontario, Canada	1443509	ok	accession	2	451	0.01094926	0.8963769	41190	40739	0.98905074	4.5642632	examples/results/Harosoy.soy50k.fixploidy.gtcheck.tsv
Harosoy	Harosoy	PI548575	PI 548575	Harosoy 63	Glycine max (L.) Merr.	Illinois, United States	1443511	ok	accession	3	504	0.01223598	0.8965515	41190	40686	0.98776402	4.5583253	examples/results/Harosoy.soy50k.fixploidy.gtcheck.tsv
Jackv3	Jackv3	PI540556	PI 540556	Jack	Glycine max (L.) Merr.	Illinois, United States	1435492	ok	accession	1	2223	0.054689038	1.10444	40648	38425	0.94531096	4.3569753	examples/results/Jackv3.soy50k.fixploidy.gtcheck.tsv
Jackv3	Jackv3	PI597387	PI 597387	Pana	Glycine max (L.) Merr.	Illinois, United States	1541868	ok	accession	2	5600	0.13776816	1.058401	40648	35048	0.86223184	3.9740604	examples/results/Jackv3.soy50k.fixploidy.gtcheck.tsv
Jackv3	Jackv3	IA1008	IA1008					not_found	name	3	5649	0.14323022	1.040337	39440	33791	0.85676978	3.9376598	examples/results/Jackv3.soy50k.fixploidy.gtcheck.tsv
Kingawa	Kingawa	PI548359	PI 548359	Kingwa	Glycine max (L.) Merr.	Beijing Shi, China	1443295	ok	accession	1	351	0.008551173	1.367389	41047	40696	0.99144883	4.5738325	examples/results/Kingawa.soy50k.fixploidy.gtcheck.tsv
Kingawa	Kingawa	King	King					not_found	name	2	357	0.0086973469	1.367444	41047	40690	0.99130265	4.5731581	examples/results/Kingawa.soy50k.fixploidy.gtcheck.tsv
Kingawa	Kingawa	FC31630	FC31630					not_found	name	3	1044	0.025434258	1.351946	41047	40003	0.97456574	4.495946	examples/results/Kingawa.soy50k.fixploidy.gtcheck.tsv
Minsoy	Minsoy	PI161988	PI 161988	Giesseler	Glycine max (L.) Merr.	Austria	1139710	ok	accession	1	374	0.0091128384	1.202579	41041	40667	0.99088716	4.5711784	examples/results/Minsoy.soy50k.fixploidy.gtcheck.tsv
Minsoy	Minsoy	PI153262	PI 153262	Roumanie	Glycine max (L.) Merr.	Belgium	1136672	ok	accession	2	375	0.0091472339	1.201344	40996	40621	0.99085277	4.5705477	examples/results/Minsoy.soy50k.fixploidy.gtcheck.tsv
Minsoy	Minsoy	PI424613	PI 424613	KAS 681-26	Glycine max (L.) Merr.	Gyeongsangbuk-do, Korea, South	1319883	ok	accession	3	380	0.0092590336	1.203569	41041	40661	0.99074097	4.570504	examples/results/Minsoy.soy50k.fixploidy.gtcheck.tsv
MiyakoWhite	MiyakoWhite	PI374176	PI 374176	U-4	Glycine max (L.) Merr.	Madhya Pradesh, India	1280260	ok	accession	1	6428	0.15673461	0.8264904	41012	34584	0.84326539	3.8899081	examples/results/MiyakoWhite.soy50k.fixploidy.gtcheck.tsv
MiyakoWhite	MiyakoWhite	PI374182	PI 374182	D-4	Glycine max (L.) Merr.	Madhya Pradesh, India	1280266	ok	accession	2	6433	0.15685653	0.8270064	41012	34579	0.84314347	3.8893457	examples/results/MiyakoWhite.soy50k.fixploidy.gtcheck.tsv
MiyakoWhite	MiyakoWhite	PI374169	PI 374169	I-7	Glycine max (L.) Merr.	Madhya Pradesh, India	1280253	ok	accession	3	6439	0.15700283	0.8269954	41012	34573	0.84299717	3.8886709	examples/results/MiyakoWhite.soy50k.fixploidy.gtcheck.tsv
PI407020	PI407020	PI407020	PI 407020	RB 1072	Glycine soja Siebold & Zucc.	Akita, Japan	1306678	ok	accession	1	6285	0.15558856	1.277449	40395	34110	0.84441144	3.8896357	examples/results/PI407020.soy50k.fixploidy.gtcheck.tsv
PI407020	PI407020	PI507592	PI 507592	NIAR 020018	Glycine soja Siebold & Zucc.	Akita, Japan	1402528	ok	accession	2	8488	0.21012502	1.17716	40395	31907	0.78987498	3.638423	examples/results/PI407020.soy50k.fixploidy.gtcheck.tsv
PI407020	PI407020	PI407030	PI 407030	RB 1072	Glycine soja Siebold & Zucc.	Akita, Japan	1306688	ok	accession	3	8723	0.21594257	1.174879	40395	31672	0.78405743	3.6116254	examples/results/PI407020.soy50k.fixploidy.gtcheck.tsv
PI407303	PI407303	PI407300	PI 407300		Glycine soja Siebold & Zucc.	Jiangsu Sheng, China	1306958	ok	accession	1	820	0.020162282	1.532496	40670	39850	0.97983772	4.5163407	examples/results/PI407303.soy50k.fixploidy.gtcheck.tsv
PI407303	PI407303	PI407303	PI 407303		Glycine soja Siebold & Zucc.	Jiangsu Sheng, China	1306961	ok	accession	2	1747	0.042955495	1.539391	40670	38923	0.9570445	4.4112805	examples/results/PI407303.soy50k.fixploidy.gtcheck.tsv
PI407303	PI407303	PI407302	PI 407302		Glycine soja Siebold & Zucc.	Jiangsu Sheng, China	1306960	ok	accession	3	3791	0.093213671	1.49848	40670	36879	0.90678633	4.1796268	examples/results/PI407303.soy50k.fixploidy.gtcheck.tsv
PI507847	PI507847	PI507847	PI 507847	VIR 8926	Glycine soja Siebold & Zucc.	Amur, Russian Federation	1402783	ok	accession	1	1515	0.037311595	1.550258	40604	39089	0.96268841	4.4366158	examples/results/PI507847.soy50k.fixploidy.gtcheck.tsv
PI507847	PI507847	PI603146	PI 603146	VIR 8926	Glycine soja Siebold & Zucc.	Russian Federation	1556731	ok	accession	2	4076	0.1003842	1.520792	40604	36528	0.8996158	4.1459413	examples/results/PI507847.soy50k.fixploidy.gtcheck.tsv
PI507847	PI507847	PI522209B	PI 522209 B	VIR 8493	Glycine soja Siebold & Zucc.	Primorye, Russian Federation	1488395	ok	accession	3	6916	0.17032805	1.469156	40604	33688	0.82967195	3.8236003	examples/results/PI507847.soy50k.fixploidy.gtcheck.tsv
Pekingv3	Pekingv3	Peking	PI 297543	Peking	Glycine max (L.) Merr.	China	1224988	ok	name	1	734	0.018050364	1.437205	40664	39930	0.98194964	4.5260122	examples/results/Pekingv3.soy50k.fixploidy.gtcheck.tsv
Pekingv3	Pekingv3	PI548402	PI 548402	Peking	Glycine max (L.) Merr.	Beijing Shi, China	1443338	ok	accession	2	736	0.018099548	1.437135	40664	39928	0.98190045	4.5257855	examples/results/Pekingv3.soy50k.fixploidy.gtcheck.tsv
