# This file was produced by bcftools (1.21+htslib-1.21), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t -o 05c_vcfs_soy50k/Benning.soy50k.filtered.gtcheck.tsv -g 05c_vcfs_soy50k/panel/soy50k.biallelic.snps.vcf.gz 05c_vcfs_soy50k/Benning.soy50k.filtered.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf
#
INFO	Time required to process one record .. 0.000211 seconds
INFO	sites-compared	14610
INFO	sites-skipped-no-match	53276
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	126
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	14610
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Benning	PI86046	6243	1.119674e+00	14610	8367
DCv2	Benning	PI90208	6066	8.071513e-01	14610	8544
DCv2	Benning	PI219698	4969	1.005627e+00	14610	9641
DCv2	Benning	PI253651A	5886	9.586862e-01	14610	8724
DCv2	Benning	PI347550A	6170	9.179236e-01	14610	8440
DCv2	Benning	PI398807	6073	8.051579e-01	14610	8537
DCv2	Benning	PI408055A	6283	7.857527e-01	14610	8327
DCv2	Benning	PI408069	6291	7.796519e-01	14610	8319
DCv2	Benning	PI408169A	6134	8.465208e-01	14610	8476
DCv2	Benning	PI408169B	5862	8.598271e-01	14610	8748
DCv2	Benning	PI416923	5543	8.419085e-01	14610	9067
DCv2	Benning	PI417472A	5774	8.753833e-01	14610	8836
DCv2	Benning	PI417508	5807	9.710413e-01	14610	8803
DCv2	Benning	PI417521	7168	8.185821e-01	14610	7442
DCv2	Benning	PI423734	5993	7.927394e-01	14610	8617
DCv2	Benning	PI423923	5949	8.376155e-01	14610	8661
DCv2	Benning	PI424145	5489	8.603788e-01	14610	9121
DCv2	Benning	PI424159A	6389	7.886932e-01	14610	8221
DCv2	Benning	PI424241	6080	7.917367e-01	14610	8530
DCv2	Benning	PI424485	5986	8.124817e-01	14610	8624
DCv2	Benning	PI424549B	5892	8.285154e-01	14610	8718
DCv2	Benning	PI437196	6092	8.313952e-01	14610	8518
DCv2	Benning	PI437199	6521	1.045553e+00	14610	8089
DCv2	Benning	PI437619	6987	8.280893e-01	14610	7623
DCv2	Benning	PI437633A	5439	1.050435e+00	14610	9171
DCv2	Benning	PI437649B	5541	1.006746e+00	14610	9069
DCv2	Benning	PI437749	5551	9.277510e-01	14610	9059
DCv2	Benning	PI437833	6481	7.812087e-01	14610	8129
DCv2	Benning	PI437841	6944	8.186891e-01	14610	7666
DCv2	Benning	PI438229	6819	8.660191e-01	14610	7791
DCv2	Benning	PI438249B	6750	1.003940e+00	14610	7860
